Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5492,0,0,0,0,1082,266,6840,431,7271,-0.0229969,0.0363344,-0.999075,0
5316,0,0,0,0,976,250,6542,708,7250,0.0181683,0.00408249,-0.999827,0
5484,0,0,0,0,977,246,6707,701,7408,0.019529,0.00106448,-0.999809,0
5652,0,0,0,0,1316,276,7244,749,7993,0.0212721,0.000981583,-0.999773,0
5214,0,0,0,0,1012,268,6494,790,7284,0.022001,0.000946985,-0.999757,0
5557,0,0,0,0,945,266,6768,738,7506,0.0223699,-0.000284407,-0.99975,0
5139,0,0,0,0,983,269,6391,794,7185,0.0217553,-0.000254519,-0.999763,0
5535,0,0,0,0,934,234,6703,733,7436,0.0227144,0.00236743,-0.999739,0
5228,0,0,0,0,907,234,6369,727,7096,0.0216469,0.000713399,-0.999765,0
5146,0,0,0,0,970,245,6361,754,7115,0.0221454,0.00879796,-0.999716,0
5282,0,0,0,0,948,272,6502,968,7470,0.0201309,0.0104385,-0.999743,0
3572,0,0,0,0,669,185,4426,502,4928,0.0199454,0.00779377,-0.999771,0
4784,0,0,0,0,854,212,5850,684,6534,0.0209384,0.00895946,-0.999741,0
5419,0,0,0,0,1003,269,6691,766,7457,0.017764,0.0112562,-0.999779,0
5622,0,0,0,0,975,272,6869,741,7610,0.020506,0.0112681,-0.999726,0
5388,0,0,0,0,1032,271,6691,837,7528,0.0189602,0.0117863,-0.999751,0
5537,0,0,0,0,1003,277,6817,740,7557,0.0156765,0.00934044,-0.999834,0
5245,0,0,0,0,904,233,6382,761,7143,0.0209909,0.0121348,-0.999706,0
5204,0,0,0,0,953,240,6397,815,7212,0.0198397,0.0109477,-0.999743,0
5184,0,0,0,0,957,251,6392,773,7165,0.0209895,0.0113428,-0.999715,0
6031,0,0,0,0,1003,253,7287,757,8044,0.0202677,0.0103927,-0.999741,0
3577,0,0,0,0,628,123,4328,387,4715,0.021657,0.00848805,-0.999729,0
5392,0,0,0,0,984,238,6614,755,7369,0.0202575,0.00879961,-0.999756,0
6116,0,0,0,0,1018,238,7372,775,8147,0.0192739,0.00939762,-0.99977,0
5311,0,0,0,0,945,292,6548,718,7266,0.021096,0.00909804,-0.999736,0
4818,0,0,0,0,749,166,5733,532,6265,0.0200312,0.00926263,-0.999756,0
5587,0,0,0,0,978,271,6836,719,7555,0.0218721,0.00967713,-0.999714,0
6751,0,0,0,0,650,188,7589,536,8125,0.0208666,0.010758,-0.999724,0
4859,0,0,0,0,655,215,5729,657,6386,0.0206809,0.00893164,-0.999746,0
2759,0,0,0,0,509,142,3410,383,3793,0.02212,0.0065632,-0.999734,0
6449,0,0,0,0,901,266,7616,759,8375,0.0194877,0.0086414,-0.999773,0
5371,0,0,0,0,934,266,6571,734,7305,0.0205765,0.00966241,-0.999742,0
5479,0,0,0,0,921,267,6667,800,7467,0.0201467,0.0104167,-0.999743,0
5416,0,0,0,0,981,268,6665,745,7410,0.0205896,0.0106693,-0.999731,0
5258,0,0,0,0,927,270,6455,739,7194,0.0198849,0.0110361,-0.999741,0
