Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5077,0,49,72,306,110,34,5648,1755,7403,-0.00422326,-0.101985,-0.994777,0
5155,0,24,59,209,56,26,5529,1807,7336,-0.0211846,-0.120338,-0.992507,0
5191,0,24,47,198,64,23,5547,1876,7423,-0.0438532,-0.0981917,-0.994201,0
5035,0,24,48,197,55,23,5382,1807,7189,-0.0536654,-0.0637552,-0.996521,0
5045,0,24,49,195,48,23,5384,1777,7161,-0.0463972,-0.116848,-0.992066,0
5000,0,23,46,179,50,22,5320,1768,7088,-0.0308809,-0.117091,-0.992641,0
5027,0,23,47,184,53,22,5356,1745,7101,-0.0322749,-0.120971,-0.992131,0
5006,0,25,48,196,56,23,5354,1766,7120,-0.0353922,-0.0862516,-0.995645,0
5004,0,23,46,191,48,22,5334,1773,7107,-0.0430553,-0.115915,-0.992326,0
5044,0,23,44,186,55,24,5376,1799,7175,-0.0576531,-0.114757,-0.991719,0
5012,0,24,46,194,81,22,5379,1739,7118,-0.0341027,-0.117755,-0.992457,0
5047,0,24,45,179,51,22,5368,1749,7117,-0.0708941,-0.118543,-0.990415,0
5022,0,23,46,189,55,22,5357,1766,7123,-0.0570605,-0.103209,-0.993021,0
5138,0,23,46,188,48,22,5465,1767,7232,-0.0332642,-0.130661,-0.990869,0
5062,0,24,68,195,55,24,5428,1793,7221,-0.0596623,-0.123135,-0.990595,0
5066,0,24,48,198,46,23,5405,1737,7142,-0.0549609,-0.113015,-0.992072,0
5179,0,29,54,222,57,27,5568,1797,7365,-0.0265551,-0.124528,-0.991861,0
5106,0,24,49,196,55,23,5453,1764,7217,-0.0503728,-0.133407,-0.98978,0
5481,0,24,48,200,46,23,5822,1743,7565,-0.0382771,-0.131287,-0.990605,0
5762,0,23,48,235,74,25,6167,1744,7911,-0.0351048,-0.150284,-0.98802,0
4971,0,24,46,210,52,24,5327,1739,7066,-0.0532088,-0.130167,-0.990064,0
5007,0,23,45,181,50,22,5328,1775,7103,-0.035302,-0.15939,-0.986585,0
5032,0,23,49,199,54,22,5379,1739,7118,-0.0429129,-0.130925,-0.990463,0
4971,0,23,46,180,51,22,5293,1743,7036,-0.0290237,-0.149751,-0.988298,0
5649,0,23,47,187,52,22,5980,1811,7791,-0.0553531,-0.146235,-0.9877,0
5032,0,23,46,189,49,22,5361,1746,7107,-0.0461693,-0.148869,-0.987779,0
5377,0,23,47,185,49,22,5703,1756,7459,-0.0264071,-0.169736,-0.985136,0
5604,0,23,47,193,47,23,5937,1762,7699,-0.0264909,-0.169893,-0.985107,0
5013,0,23,46,238,52,28,5400,1738,7138,-0.0339197,-0.158403,-0.986792,0
5011,0,23,45,186,55,22,5342,1740,7082,-0.0406571,-0.154505,-0.987155,0
4994,0,24,48,203,46,23,5338,1766,7104,-0.0747534,-0.134472,-0.988094,0
5220,0,24,46,197,50,23,5560,1862,7422,-0.0627315,-0.141868,-0.987896,0
5449,0,24,48,192,53,28,5794,1778,7572,-0.0602198,-0.135996,-0.988878,0
4935,0,23,44,185,52,22,5261,1742,7003,-0.0438583,-0.156698,-0.986672,0
5542,0,26,49,207,57,24,5905,2100,8005,-0.033913,-0.154262,-0.987447,0
5574,0,27,51,215,56,25,5948,2087,8035,-0.0312606,-0.1753,-0.984018,0
5551,0,27,50,225,57,25,5935,2015,7950,-0.0619643,-0.154999,-0.985969,0
5603,0,26,51,242,60,29,6011,1960,7971,-0.0470732,-0.183673,-0.981859,0
5645,0,24,45,182,51,23,5970,1911,7881,-0.0584477,-0.158433,-0.985638,0
2811,0,12,26,101,28,12,2990,828,3818,-0.019113,-0.194784,-0.98066,0
1903,0,8,17,70,18,8,2024,658,2682,-0.0521384,-0.163226,-0.98521,0
5725,0,25,51,202,55,24,6082,2027,8109,-0.0342997,-0.183046,-0.982506,0
4977,0,24,44,194,49,23,5311,1808,7119,-0.0166708,-0.18465,-0.982663,0
4889,0,22,50,178,49,21,5209,1753,6962,-0.0495607,-0.183962,-0.981683,0
5017,0,22,45,190,47,21,5342,1746,7088,-0.031676,-0.181793,-0.982827,0
5026,0,24,60,218,49,26,5403,1792,7195,-0.0227514,-0.177903,-0.983785,0
5604,0,22,45,181,48,22,5922,1962,7884,-0.036036,-0.186362,-0.98182,0
5758,0,26,54,208,71,26,6143,2007,8150,-0.0354071,-0.161458,-0.986244,0
5808,0,28,62,209,55,32,6194,2008,8202,-0.0321041,-0.165144,-0.985747,0
5074,0,16,32,135,33,16,5306,1252,6558,-0.034374,-0.185942,-0.981959,0
2194,0,9,20,79,20,10,2332,749,3081,-0.0299758,-0.179126,-0.983369,0
5723,0,25,52,199,56,31,6086,2015,8101,-0.0442025,-0.170618,-0.984346,0
5671,0,45,51,214,74,29,6084,2001,8085,-0.0538904,-0.156692,-0.986176,0
5647,0,26,52,211,60,25,6021,2053,8074,-0.070345,-0.173986,-0.982233,0
6167,0,26,52,231,53,25,6554,2004,8558,-0.042455,-0.163954,-0.985554,0
5737,0,26,53,199,50,24,6089,1994,8083,-0.0376694,-0.165321,-0.98552,0
5152,0,22,46,177,49,21,5467,1770,7237,-0.0277193,-0.177661,-0.983701,0
5791,0,26,51,240,61,27,6196,2033,8229,-0.0369702,-0.17846,-0.983252,0
7791,0,26,57,209,69,37,8189,2141,10330,-0.0415374,-0.169116,-0.98472,0
5668,0,26,55,208,50,25,6032,2071,8103,-0.0393107,-0.161546,-0.986082,0
3723,0,17,33,136,40,16,3965,1390,5355,-0.0145655,-0.1766,-0.984175,0
5902,0,26,55,206,54,25,6268,1958,8226,-0.0269892,-0.182543,-0.982827,0
5791,0,39,77,296,92,40,6335,2024,8359,-0.0240453,-0.17146,-0.984898,0
5787,0,26,55,215,59,26,6168,2081,8249,-0.0128318,-0.180378,-0.983514,0
5822,0,26,60,252,57,30,6247,1957,8204,-0.0232124,-0.171827,-0.984854,0
5123,0,23,46,189,44,22,5447,1851,7298,-0.0276542,-0.169088,-0.985213,0
5145,0,24,45,182,48,22,5466,1867,7333,-0.0253064,-0.161678,-0.986519,0
5126,0,23,46,188,46,22,5451,1812,7263,-0.0393053,-0.16741,-0.985103,0
5188,0,22,45,180,49,21,5505,1833,7338,-0.0294653,-0.178911,-0.983424,0
5202,0,24,46,238,48,28,5586,1825,7411,-0.0357316,-0.153866,-0.987446,0
4970,0,23,51,190,52,22,5308,1774,7082,-0.0119229,-0.174107,-0.984655,0
5448,0,23,49,192,54,22,5788,1742,7530,-0.0429238,-0.171283,-0.984287,0
5017,0,23,47,180,50,22,5339,1820,7159,-0.0208973,-0.175887,-0.984189,0
5082,0,24,50,187,68,23,5434,1744,7178,-0.0366275,-0.170573,-0.984664,0
5632,0,24,70,195,56,23,6000,2199,8199,-0.0249786,-0.155097,-0.987584,0
5543,0,23,45,188,51,23,5873,1969,7842,-0.0337352,-0.167652,-0.985269,0
5672,0,27,54,221,61,26,6061,2045,8106,-0.0241361,-0.165445,-0.985924,0
5031,0,23,45,187,66,22,5374,1786,7160,-0.0109929,-0.167221,-0.985858,0
4937,0,23,45,189,46,23,5263,1805,7068,-0.0289774,-0.170898,-0.984862,0
5405,0,25,49,198,53,30,5760,1742,7502,-0.0637769,-0.146565,-0.987143,0
4893,0,23,47,182,48,22,5215,1773,6988,-0.0528295,-0.148478,-0.987503,0
5283,0,25,58,218,53,29,5666,1776,7442,-0.0487997,-0.143252,-0.988482,0
5036,0,24,65,233,60,38,5456,1973,7429,-0.0323194,-0.155706,-0.987275,0
4964,0,35,49,183,46,23,5300,1745,7045,-0.0211647,-0.16704,-0.985723,0
5701,0,27,53,240,62,25,6108,2024,8132,-0.0261927,-0.170747,-0.984967,0
5617,0,26,50,204,57,25,5979,1985,7964,-0.0356024,-0.159537,-0.98655,0
5733,0,27,55,215,60,25,6115,1981,8096,-0.0247681,-0.178043,-0.983711,0
5765,0,26,56,227,58,25,6157,2007,8164,-0.043753,-0.174618,-0.983664,0
5782,0,27,52,213,57,25,6156,2085,8241,-0.0290656,-0.16494,-0.985875,0
3870,0,18,36,144,37,16,4121,1306,5427,-0.0309906,-0.174566,-0.984158,0
5514,0,26,52,215,60,25,5892,2058,7950,-0.024721,-0.164929,-0.985996,0
5610,0,26,55,209,51,39,5990,1967,7957,-0.0248664,-0.183646,-0.982678,0
5645,0,23,46,204,67,25,6010,2002,8012,-0.0451156,-0.169552,-0.984488,0
5595,0,40,74,217,54,27,6007,2000,8007,-0.0286254,-0.176733,-0.983842,0
5705,0,27,65,186,67,23,6073,1764,7837,-0.0560322,-0.156659,-0.986062,0
5043,0,23,45,187,80,26,5404,1745,7149,-0.0324759,-0.177217,-0.983636,0
4958,0,22,43,171,45,21,5260,1780,7040,-0.0213389,-0.202684,-0.979012,0
5793,0,26,53,211,50,25,6158,2031,8189,-0.0439062,-0.181488,-0.982413,0
5899,0,26,65,205,52,25,6272,1965,8237,-0.0333769,-0.18079,-0.982955,0
5501,0,23,48,176,43,21,5812,1764,7576,-0.0366432,-0.187006,-0.981675,0
3420,0,16,32,142,32,15,3657,1259,4916,-0.0145776,-0.176492,-0.984194,0
5648,0,24,51,196,53,24,5996,2054,8050,-0.0310697,-0.13427,-0.990458,0
5621,0,21,47,167,53,22,5931,2003,7934,-0.0621685,-0.0637099,-0.99603,0
5089,0,16,36,126,34,17,5318,1783,7101,-0.0415546,-0.048887,-0.99794,0
5185,0,24,47,214,39,34,5543,1750,7293,-0.32501,0.278358,-0.903817,0
4994,0,40,63,343,39,33,5512,1780,7292,-0.277348,0.416997,-0.865559,0
5080,0,55,83,498,34,42,5792,1817,7609,-0.059823,0.18068,-0.981721,0
5106,0,74,105,778,43,64,6170,1756,7926,-0.0533619,0.279629,-0.958624,0
5127,0,88,120,823,43,65,6266,1742,8008,-0.0428311,0.511195,-0.858397,0
5135,0,100,136,1010,42,76,6499,-1000,-1000,-1,-1,-1,0
5190,0,112,151,1126,47,83,6709,-1000,-1000,-1,-1,-1,0
3003,0,62,85,637,24,46,3857,-1000,-1000,-1,-1,-1,0
2541,0,62,82,634,23,46,3388,-1000,-1000,-1,-1,-1,0
5723,0,144,192,1529,55,108,7751,-1000,-1000,-1,-1,-1,0
5139,0,132,184,1522,48,104,7129,-1000,-1000,-1,-1,-1,0
5298,0,128,168,1320,53,100,7067,-1000,-1000,-1,-1,-1,0
6542,0,119,166,1200,47,88,8162,-1000,-1000,-1,-1,-1,0
5128,0,86,119,899,43,71,6346,-1000,-1000,-1,-1,-1,0
5774,0,79,113,774,43,61,6844,-1000,-1000,-1,-1,-1,0
5483,0,111,148,751,39,62,6594,-1000,-1000,-1,-1,-1,0
5215,0,76,110,741,38,59,6239,-1000,-1000,-1,-1,-1,0
6440,0,77,113,742,49,59,7480,-1000,-1000,-1,-1,-1,0
3647,0,51,73,494,28,40,4333,-1000,-1000,-1,-1,-1,0
5296,0,73,107,721,50,60,6307,-1000,-1000,-1,-1,-1,0
5033,0,70,102,703,47,57,6012,-1000,-1000,-1,-1,-1,0
4786,0,59,87,560,49,47,5588,-1000,-1000,-1,-1,-1,0
4652,0,45,69,396,45,37,5244,-1000,-1000,-1,-1,-1,0
4551,0,33,57,283,37,29,4990,-1000,-1000,-1,-1,-1,0
4227,0,28,53,313,44,41,4706,-1000,-1000,-1,-1,-1,0
3980,0,20,40,159,42,20,4261,1795,6056,0.0671227,-0.306246,-0.949583,0
4937,0,30,56,283,51,33,5390,1763,7153,0.126459,-0.305784,-0.943665,0
4135,0,52,76,500,41,62,4866,1786,6652,0.11832,-0.230953,-0.965744,0
5210,0,80,115,847,50,64,6366,1772,8138,0.0869155,-0.0795873,-0.993031,0
5327,0,110,148,1110,50,81,6826,1743,8569,0.0726524,-0.0505166,-0.996077,0
5783,0,166,186,1512,81,104,7832,1744,9576,0.0456376,-0.0204073,-0.99875,0
6511,0,163,213,1843,70,126,8926,1756,10682,0.00354566,0.0811433,-0.996696,0
6432,0,255,295,1963,83,128,9156,1753,10909,-0.00589937,0.123048,-0.992383,0
6369,0,173,211,1714,83,118,8668,1743,10411,-0.0048457,0.176447,-0.984298,0
4445,0,109,143,1363,58,94,6212,1206,7418,-0.044316,0.214157,-0.975794,0
3090,0,75,98,808,41,56,4168,875,5043,-0.0553461,0.251876,-0.966175,0
6282,0,144,225,1568,73,110,8402,1847,10249,-0.0397936,0.350895,-0.935569,0
5939,0,127,226,1441,70,99,7902,1791,9693,-0.0190807,0.391973,-0.919779,0
5692,0,76,125,801,46,61,6801,1256,8057,0.0181347,0.457366,-0.889094,0
5566,0,113,153,1171,72,92,7167,1760,8927,0.080325,0.587653,-0.805116,0
5511,0,118,158,1190,66,116,7159,1783,8942,0.0601123,0.609665,-0.790377,0
3476,0,60,81,604,51,47,4319,938,5257,0.0678846,0.677572,-0.732316,0
3378,0,96,119,749,34,58,4434,-1000,-1000,-1,-1,-1,0
5209,0,119,161,1244,40,98,6871,-1000,-1000,-1,-1,-1,0
5170,0,132,192,1383,49,97,7023,-1000,-1000,-1,-1,-1,0
5189,0,146,192,1475,59,107,7168,-1000,-1000,-1,-1,-1,0
4901,0,156,203,1488,43,109,6900,-1000,-1000,-1,-1,-1,0
4770,0,170,183,1403,40,134,6700,-1000,-1000,-1,-1,-1,0
4598,0,125,168,1234,44,95,6264,-1000,-1000,-1,-1,-1,0
4980,0,147,177,1133,49,92,6578,1805,8383,-0.190636,-0.678057,-0.709857,0
2605,0,55,75,523,29,42,3329,926,4255,-0.10112,-0.456402,-0.884009,0
2889,0,53,80,511,39,44,3616,1098,4714,-0.0690933,-0.410302,-0.909328,0
5160,0,122,173,802,70,66,6393,1801,8194,-0.0458478,-0.401098,-0.914887,0
4957,0,71,101,641,46,57,5873,1847,7720,-0.0525859,-0.357571,-0.932404,0
5593,0,62,95,560,83,53,6446,1805,8251,-0.0597883,-0.288316,-0.955667,0
5067,0,55,82,462,63,43,5772,1775,7547,-0.0703852,-0.268815,-0.960617,0
5186,0,49,78,409,62,39,5823,1781,7604,-0.0907305,-0.155299,-0.983692,0
5977,0,40,71,337,45,34,6504,1903,8407,-0.135439,-0.0306141,-0.990313,0
5311,0,33,60,263,54,41,5762,1743,7505,-0.289149,-0.0322312,-0.956742,0
5756,0,34,61,283,73,42,6249,2007,8256,-0.357638,0.0727884,-0.931019,0
4055,0,20,37,148,34,17,4311,1045,5356,-0.257889,0.084495,-0.962473,0
1774,0,12,20,97,20,10,1933,664,2597,-0.178455,0.0898391,-0.979838,0
5088,0,40,64,341,52,33,5618,1744,7362,-0.11936,0.152035,-0.981142,0
5410,0,47,73,413,53,39,6035,1813,7848,-0.12766,0.192317,-0.972994,0
5088,0,63,92,597,48,50,5938,1796,7734,-0.0997121,0.261784,-0.959962,0
5178,0,81,116,790,51,63,6279,1779,8058,-0.0745813,0.264706,-0.961441,0
5567,0,98,143,987,47,74,6916,1810,8726,-0.0727561,0.306874,-0.948965,0
4317,0,76,103,772,29,57,5354,1227,6581,-0.08817,0.304918,-0.948288,0
2810,0,64,86,664,21,48,3693,925,4618,-0.0964624,0.277179,-0.955964,0
3931,0,96,130,1038,33,71,5299,1338,6637,-0.130042,0.350777,-0.927386,0
5374,0,127,167,1326,39,94,7127,1788,8915,-0.144337,0.40804,-0.901482,0
6100,0,148,193,1470,42,110,8063,2022,10085,-0.212402,0.669016,-0.712252,0
5243,0,113,182,1266,58,91,6953,-1000,-1000,-1,-1,-1,0
5291,0,105,145,1132,40,86,6799,-1000,-1000,-1,-1,-1,0
3335,0,89,93,656,25,50,4248,-1000,-1000,-1,-1,-1,0
