Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6563,4008,77,454,3706,45,176,15029,1237,16266,-0.0148351,0.0495755,-0.99866,0
4197,2526,21,314,2096,44,127,9325,947,10272,-0.0122263,0.0466536,-0.998836,0
3279,1941,21,226,1914,27,129,7537,944,8481,-0.012784,0.0463713,-0.998842,0
4942,2886,25,350,2881,45,216,11345,1452,12797,-0.012706,0.0446157,-0.998923,0
6191,3568,35,451,3226,35,170,13676,1252,14928,-0.0144844,0.0471279,-0.998784,0
4405,2508,28,295,2549,41,198,10024,1259,11283,-0.0141263,0.044998,-0.998887,0
6203,3752,32,462,3908,64,247,14668,1786,16454,-0.0147513,0.0448287,-0.998885,0
6054,3685,29,307,2573,43,168,12859,1227,14086,-0.0151803,0.04696,-0.998782,0
3229,1958,16,226,1955,25,129,7538,963,8501,-0.0167975,0.0510748,-0.998554,0
6288,3694,32,436,3608,36,168,14262,1207,15469,-0.0126679,0.0521618,-0.998558,0
5653,3341,28,395,3243,49,217,12926,1589,14515,-0.0112429,0.0495811,-0.998707,0
5543,3227,29,387,3161,57,165,12569,1136,13705,-0.01252,0.0458281,-0.998871,0
4118,2344,20,272,2288,33,176,9251,1207,10458,-0.0118371,0.0407844,-0.999098,0
6166,3653,33,448,3687,77,344,14408,1929,16337,-0.0127377,0.0440905,-0.998946,0
6184,3551,21,298,2571,36,171,12832,1360,14192,-0.0141104,0.0423544,-0.999003,0
3177,1959,16,225,1906,32,132,7447,948,8395,-0.0153215,0.0446685,-0.998884,0
5980,3763,32,428,3608,62,243,14116,1748,15864,-0.013687,0.0438267,-0.998945,0
6421,3341,22,335,2529,61,169,12878,1149,14027,-0.0148491,0.0425134,-0.998986,0
3983,2323,20,297,2292,34,158,9107,1172,10279,-0.0127774,0.0430546,-0.998991,0
5000,3025,26,352,3006,47,203,11659,1488,13147,-0.0122045,0.0436392,-0.998973,0
5020,3278,33,392,3149,47,203,12122,1455,13577,-0.0143249,0.0470764,-0.998788,0
3615,2212,20,255,2232,31,149,8514,1055,9569,-0.0130762,0.0436579,-0.998961,0
6558,3797,38,456,3609,56,244,14758,1800,16558,-0.0160642,0.0483324,-0.998702,0
4109,2570,21,295,2513,48,181,9737,1211,10948,-0.0148293,0.0444083,-0.998903,0
6207,3679,32,431,3586,43,170,14148,1228,15376,-0.0133517,0.0423838,-0.999012,0
3231,1934,17,224,1957,44,128,7535,925,8460,-0.0146426,0.0423965,-0.998993,0
6557,3730,32,466,3312,49,171,14317,1381,15698,-0.0164747,0.0436986,-0.998909,0
4186,2728,23,310,2593,49,173,10062,1242,11304,-0.014168,0.0406457,-0.999073,0
5965,3368,28,406,3307,54,221,13349,1623,14972,-0.0152959,0.0418155,-0.999008,0
5669,2548,22,283,1884,40,123,10569,889,11458,-0.0145546,0.0418538,-0.999018,0
6410,3736,34,431,3296,47,171,14125,1237,15362,-0.0143019,0.0425919,-0.99899,0
3230,2056,16,226,1968,30,131,7657,985,8642,-0.0155841,0.0454439,-0.998845,0
6206,3879,30,438,3631,46,246,14476,1644,16120,-0.0152755,0.0471806,-0.99877,0
4125,2539,21,294,2488,51,173,9691,1209,10900,-0.0151827,0.0471758,-0.998771,0
6181,3710,33,431,3626,65,248,14294,1744,16038,-0.0140426,0.0461644,-0.998835,0
4264,2782,23,299,2552,44,232,10196,1229,11425,-0.0153809,0.0474723,-0.998754,0
6059,3722,31,441,3889,60,219,14421,1211,15632,-0.0138884,0.0441141,-0.99893,0
4594,2599,21,296,2610,32,173,10325,1210,11535,-0.0143218,0.0420795,-0.999012,0
5362,3314,27,385,3511,65,251,12915,1706,14621,-0.0175582,0.0455285,-0.998808,0
6007,3784,53,455,3238,36,168,13741,1238,14979,-0.0170553,0.0471603,-0.998742,0
4372,2597,22,299,2513,37,170,10010,1249,11259,-0.0152931,0.0485231,-0.998705,0
5484,3311,26,388,3305,57,219,12790,1832,14622,-0.0159757,0.0486233,-0.998689,0
5506,3311,28,386,3257,44,221,12753,1355,14108,-0.0167462,0.0489624,-0.998661,0
3834,2334,20,303,2532,35,160,9218,1144,10362,-0.017648,0.0479287,-0.998695,0
6175,3687,32,433,3662,52,246,14287,1676,15963,-0.0154577,0.041669,-0.999012,0
4228,2664,21,300,2527,51,212,10003,1233,11236,-0.0104177,0.0422018,-0.999055,0
4221,2651,30,309,2596,42,172,10021,1209,11230,-0.00627442,0.0433135,-0.999042,0
6115,3841,31,444,3766,67,254,14518,1755,16273,-0.00676296,0.0433488,-0.999037,0
6339,3976,38,447,3322,38,173,14333,1231,15564,-0.0100317,0.0383952,-0.999212,0
3163,2025,16,233,2008,31,166,7642,926,8568,-0.0124912,0.0386114,-0.999176,0
5976,4093,44,448,3816,48,253,14678,1752,16430,-0.0143862,0.0405186,-0.999075,0
5578,3487,28,413,3079,31,165,12781,1145,13926,-0.0107449,0.0384037,-0.999204,0
2975,1948,19,232,1926,25,131,7256,885,8141,-0.012146,0.0424599,-0.999024,0
6029,3913,31,444,3829,46,271,14563,1789,16352,-0.009531,0.0368179,-0.999276,0
6011,3916,31,458,3789,36,180,14421,1232,15653,-0.010762,0.0396094,-0.999157,0
3170,2050,16,233,2012,25,134,7640,978,8618,-0.0133114,0.0439103,-0.998947,0
3819,2579,19,287,2431,34,170,9339,1146,10485,-0.0134335,0.0480675,-0.998754,0
6057,3846,31,444,3827,78,278,14561,1785,16346,-0.0131813,0.0525413,-0.998532,0
6155,3871,31,448,3273,45,187,14010,1225,15235,-0.0137327,0.0552937,-0.998376,0
4140,2581,22,297,2589,37,175,9841,1208,11049,-0.0136757,0.0532141,-0.998489,0
5561,3379,27,412,3306,48,232,12965,1440,14405,-0.0142025,0.0547717,-0.998398,0
5332,3649,26,376,3122,52,208,12765,1598,14363,-0.0136286,0.0574989,-0.998253,0
5439,3125,25,351,2994,44,169,12147,1088,13235,-0.0137452,0.0523643,-0.998534,0
1713,1016,9,116,988,18,66,3926,485,4411,-0.0133481,0.0504375,-0.998638,0
6058,3712,32,430,3696,69,251,14248,1766,16014,-0.0140591,0.0470479,-0.998794,0
5989,3389,22,298,2522,43,171,12434,1159,13593,-0.0132991,0.0469285,-0.99881,0
5021,3280,29,419,3061,47,216,12073,1434,13507,-0.0117708,0.0445375,-0.998938,0
4910,3105,26,405,2980,50,200,11676,1281,12957,-0.012355,0.0470486,-0.998816,0
6003,3839,31,432,3667,73,288,14333,1747,16080,-0.0125167,0.0499623,-0.998673,0
4102,2555,21,334,3742,55,271,11080,1633,12713,-0.0133454,0.0477249,-0.998772,0
3180,1947,16,227,1930,33,131,7464,932,8396,-0.0141648,0.0463863,-0.998823,0
6083,3705,33,447,4276,77,175,14796,1232,16028,-0.0121333,0.0465994,-0.99884,0
6027,3718,50,433,3600,51,172,14051,1230,15281,-0.0101746,0.0482047,-0.998786,0
5579,3375,36,411,3290,61,223,12975,1570,14545,-0.0114801,0.0481018,-0.998777,0
5345,3596,35,417,2936,49,161,12539,1163,13702,-0.010852,0.0464797,-0.998861,0
4952,3089,25,355,2968,44,203,11636,1450,13086,-0.0110661,0.0442087,-0.998961,0
4918,3047,35,353,3002,51,246,11652,1199,12851,-0.0136728,0.0477183,-0.998767,0
6054,3679,32,431,3635,84,250,14165,1599,15764,-0.0147094,0.0489347,-0.998693,0
5509,3326,27,390,3284,63,222,12821,1573,14394,-0.0164072,0.0553841,-0.99833,0
5342,3246,27,387,3213,46,223,12484,1503,13987,-0.0158447,0.0543863,-0.998394,0
5977,3675,31,437,4177,55,250,14602,1755,16357,-0.0156962,0.0590945,-0.998129,0
4131,2683,21,380,2535,39,174,9963,1208,11171,-0.0196138,0.0674814,-0.997528,0
4098,2540,22,292,2489,41,168,9650,1210,10860,-0.0178083,0.070017,-0.997387,0
5953,3589,31,420,3557,47,241,13838,1411,15249,-0.0181291,0.0810559,-0.996544,0
6273,3617,37,425,3550,71,240,14213,1813,16026,-0.0209665,0.0933752,-0.99541,0
6098,3257,22,289,2648,36,183,12533,1243,13776,-0.0164909,0.106877,-0.994136,0
3074,1868,17,235,1845,23,123,7185,926,8111,-0.0224743,0.117177,-0.992856,0
6288,3643,35,408,3417,55,229,14075,1771,15846,-0.0198462,0.135965,-0.990515,0
5794,3294,29,415,2940,59,167,12698,1229,13927,-0.0273754,0.167024,-0.985573,0
4423,2234,21,267,2260,44,154,9403,1247,10650,-0.026577,0.192606,-0.980916,0
5200,2798,28,336,2722,55,191,11330,1572,12902,-0.0358202,0.218978,-0.975072,0
6678,2803,30,340,2664,66,191,12772,1749,14521,-0.0569602,0.246694,-0.967418,0
7341,2407,31,351,2466,69,180,12845,1780,14625,-0.0943908,0.332795,-0.938264,0
5769,2257,31,295,2203,51,164,10770,1573,12343,-0.0890131,0.431734,-0.897599,0
3887,1467,20,193,1434,37,107,7145,1209,8354,-0.0797228,0.494986,-0.865236,0
5717,2163,30,270,2009,57,194,10440,-1000,-1000,-1,-1,-1,0
5930,1921,30,277,1902,62,163,10285,-1000,-1000,-1,-1,-1,0
4295,1313,21,167,1341,41,100,7278,-1000,-1000,-1,-1,-1,0
5808,2019,27,236,1701,57,134,9982,-1000,-1000,-1,-1,-1,0
6515,1654,27,226,1082,41,99,9644,-1000,-1000,-1,-1,-1,0
5530,1477,30,229,1356,91,112,8825,-1000,-1000,-1,-1,-1,0
5571,1214,27,172,1191,64,98,8337,-1000,-1000,-1,-1,-1,0
6094,1149,27,161,1015,63,86,8595,-1000,-1000,-1,-1,-1,0
5453,972,27,144,946,62,81,7685,-1000,-1000,-1,-1,-1,0
5727,909,28,136,829,50,72,7751,-1000,-1000,-1,-1,-1,0
5365,922,27,135,999,68,108,7624,-1000,-1000,-1,-1,-1,0
6007,862,25,128,819,39,71,7951,-1000,-1000,-1,-1,-1,0
5579,994,26,143,927,39,79,7787,-1000,-1000,-1,-1,-1,0
5860,1040,25,156,1001,39,85,8206,-1000,-1000,-1,-1,-1,0
5315,862,20,122,795,25,65,7204,-1000,-1000,-1,-1,-1,0
4707,1082,21,151,1052,29,83,7125,1444,8569,0.113357,-0.460298,-0.880497,0
5844,1476,25,200,1473,40,115,9173,1801,10974,0.00502578,0.0786017,-0.996893,0
5690,1599,27,223,1488,54,124,9205,1757,10962,0.0062113,0.0953068,-0.995429,0
5281,1582,24,217,1501,50,122,8777,1584,10361,0.0116514,0.0851811,-0.996297,0
5911,2038,26,300,1976,56,155,10462,1778,12240,0.0155554,0.100995,-0.994765,0
6013,2273,28,299,2187,55,169,11024,1385,12409,0.00970148,0.0932917,-0.995592,0
5512,2207,22,292,2178,47,167,10425,1589,12014,0.0043618,0.0916217,-0.995784,0
6104,2831,26,363,2814,74,206,12418,1785,14203,0.00232086,0.104171,-0.994557,0
6157,3374,27,399,3332,61,245,13595,1746,15341,-0.0188206,0.145504,-0.989179,0
4356,2760,19,325,2274,40,136,9910,922,10832,-0.00910104,0.0859108,-0.996261,0
6353,4047,30,477,3847,37,183,14974,1206,16180,0.000972134,0.0887765,-0.996051,0
5810,3489,24,423,3438,75,230,13489,1487,14976,-0.00216893,0.173343,-0.984859,0
4038,2214,18,261,2168,58,148,8905,1155,10060,0.0198737,0.185482,-0.982446,0
6148,3182,25,367,3091,96,223,13132,1755,14887,0.0288485,0.329495,-0.943717,0
6016,2662,28,321,2612,60,183,11882,1443,13325,0.011477,0.401612,-0.915738,0
4055,1414,17,207,1351,45,101,7190,1545,8735,0.00424248,0.480656,-0.876899,0
5758,1659,26,218,1690,93,128,9572,1790,11362,0.0100818,0.571697,-0.820403,0
5879,1560,27,202,1449,68,146,9331,1636,10967,-0.00863935,0.690242,-0.723527,0
3923,1005,18,129,967,34,73,6149,-1000,-1000,-1,-1,-1,0
5602,1450,30,180,1204,38,93,8597,-1000,-1000,-1,-1,-1,0
6690,1444,27,225,1349,47,123,9905,-1000,-1000,-1,-1,-1,0
5698,1454,27,207,1392,50,109,8937,-1000,-1000,-1,-1,-1,0
4036,1029,18,135,1173,44,111,6546,-1000,-1000,-1,-1,-1,0
5665,1541,23,201,1465,53,113,9061,-1000,-1000,-1,-1,-1,0
5739,1992,29,259,1891,75,125,10110,-1000,-1000,-1,-1,-1,0
4040,1105,16,149,1107,45,86,6548,1212,7760,-0.00752883,0.283332,-0.958992,0
5891,1914,24,246,1839,60,140,10114,1795,11909,-0.0224765,0.319661,-0.947266,0
6274,2196,24,283,2117,61,162,11117,1780,12897,-0.0165595,0.375344,-0.926738,0
6071,2611,26,358,2329,56,170,11621,1333,12954,-0.00560578,0.380677,-0.924691,0
4911,2426,21,295,2401,52,171,10277,1433,11710,-0.0050772,0.423059,-0.906088,0
5215,2851,23,338,2820,36,190,11473,1463,12936,0.00244702,0.385048,-0.922893,0
3678,2340,17,266,2395,33,156,8885,1071,9956,0.00436155,0.357568,-0.933877,0
6651,3584,40,549,3479,66,240,14609,1744,16353,0.014615,0.379857,-0.92493,0
6006,3634,31,368,2969,57,205,13270,1720,14990,0.00980226,0.387487,-0.921823,0
5850,2592,32,326,2567,75,185,11627,1467,13094,0.0103021,0.455315,-0.890271,0
4204,1521,21,194,1433,36,106,7515,1209,8724,-0.00435057,0.460422,-0.887689,0
