Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5812,0,198,261,1953,41,149,8414,1764,10178,-0.104696,0.0320176,-0.993989,0
6523,0,222,287,2165,57,164,9418,2001,11419,-0.107307,0.0432569,-0.993285,0
6526,0,222,287,2128,60,181,9404,2008,11412,-0.103323,0.0424787,-0.993741,0
3941,0,109,140,1049,31,80,5350,992,6342,-0.0992617,0.0354853,-0.994429,0
2161,0,73,93,706,19,54,3106,683,3789,-0.107537,0.0381688,-0.993468,0
2708,0,91,117,886,24,67,3893,827,4720,-0.110426,0.0319405,-0.993371,0
6838,0,218,292,2109,58,160,9675,2020,11695,-0.118865,0.0454998,-0.991867,0
6375,0,217,283,2488,84,242,9689,1895,11584,-0.117051,0.0549749,-0.991603,0
2742,0,87,114,835,30,64,3872,812,4684,-0.100057,0.0492397,-0.993763,0
6555,0,222,301,2122,66,157,9423,2022,11445,-0.100814,0.0498424,-0.993656,0
6430,0,222,280,2078,60,158,9228,1997,11225,-0.0960053,0.0323901,-0.994854,0
6535,0,218,276,2111,68,156,9364,1993,11357,-0.0986581,0.0335213,-0.994557,0
6390,0,208,268,2052,55,155,9128,2035,11163,-0.0974321,0.0141946,-0.995141,0
6368,0,203,264,1809,37,99,8780,1317,10097,-0.104906,0.00730404,-0.994455,0
5664,0,186,237,1778,49,159,8073,1744,9817,-0.106021,0.0153465,-0.994246,0
5748,0,183,248,1739,37,134,8089,1758,9847,-0.111542,0.00488571,-0.993748,0
6494,0,207,269,2036,67,152,9225,1935,11160,-0.111695,-0.00496623,-0.99373,0
6228,0,184,240,1792,47,137,8628,1798,10426,-0.114824,2.9548e-05,-0.993386,0
6181,0,218,251,1838,39,140,8667,1779,10446,-0.107085,0.028525,-0.99384,0
6506,0,184,244,1736,37,136,8843,1782,10625,-0.103354,0.00961217,-0.994598,0
5693,0,185,248,1833,55,145,8159,1762,9921,-0.105224,0.0107199,-0.994391,0
6423,0,208,268,2003,56,139,9097,1769,10866,-0.0999699,0.0188387,-0.994812,0
6221,0,186,240,1768,55,153,8623,1801,10424,-0.111327,0.0274299,-0.993405,0
3848,0,99,128,951,50,72,5148,924,6072,-0.105521,0.034498,-0.993818,0
2352,0,67,87,673,20,50,3249,663,3912,-0.114847,0.028284,-0.99298,0
1741,0,56,74,577,18,43,2509,549,3058,-0.107385,0.0309533,-0.993735,0
6676,0,208,293,2091,59,159,9486,1941,11427,-0.106396,0.0404249,-0.993502,0
6535,0,206,271,2007,40,101,9160,1320,10480,-0.102724,0.0329479,-0.994164,0
4484,0,176,188,1523,42,105,6518,1343,7861,-0.108537,0.0368506,-0.993409,0
5636,0,186,245,1797,54,137,8055,1767,9822,-0.0950518,0.0632133,-0.993463,0
5867,0,187,246,1769,36,98,8203,1227,9430,-0.0952205,0.0504897,-0.994175,0
5152,0,172,224,1719,53,129,7449,1632,9081,-0.0932258,0.0416896,-0.994772,0
5345,0,178,230,1744,60,134,7691,1593,9284,-0.097836,0.043569,-0.994249,0
6017,0,198,262,1884,63,175,8599,1520,10119,-0.101115,0.047959,-0.993718,0
4023,0,142,181,1535,74,121,6076,1216,7292,-0.0789882,0.0708426,-0.994355,0
6192,0,210,272,2063,61,158,8956,1745,10701,-0.0681047,0.0227437,-0.997419,0
6367,0,216,281,2141,63,165,9233,1802,11035,-0.0838141,0.00540794,-0.996467,0
6099,0,358,392,2633,67,135,9684,1221,10905,-0.0976019,0.00361689,-0.995219,0
5594,0,207,258,1917,55,145,8176,1578,9754,-0.0927568,0.00454455,-0.995678,0
6045,0,222,287,2164,60,165,8943,1761,10704,-0.100676,-0.0453376,-0.993886,0
5996,0,224,287,2216,53,169,8945,1745,10690,-0.0857744,-0.0420888,-0.995425,0
5882,0,225,291,2200,59,164,8821,1790,10611,-0.0838538,-0.0244105,-0.996179,0
6343,0,224,294,2235,52,169,9317,1805,11122,-0.095694,-0.00934185,-0.995367,0
6005,0,223,301,2177,61,166,8933,1742,10675,-0.0995427,-0.0307192,-0.994559,0
6020,0,257,312,2184,62,165,9000,1801,10801,-0.0960366,-0.0178974,-0.995217,0
5308,0,195,252,1948,48,142,7893,1585,9478,-0.0843703,0.0232649,-0.996163,0
6427,0,211,278,2192,56,219,9383,1747,11130,-0.0990601,0.015485,-0.994961,0
5803,0,204,262,1998,50,149,8466,1741,10207,-0.0916773,-0.00725067,-0.995762,0
5462,0,180,234,1725,43,143,7787,1624,9411,-0.0875868,0.0226082,-0.9959,0
5293,0,177,248,1688,41,129,7576,1616,9192,-0.0974788,0.0462736,-0.994161,0
3447,0,95,122,910,27,82,4683,895,5578,-0.0915612,0.0483201,-0.994626,0
3144,0,106,136,1025,32,78,4521,984,5505,-0.0878558,0.0502912,-0.994863,0
6058,0,184,242,1753,64,134,8435,1800,10235,-0.0758429,0.0375612,-0.996412,0
5812,0,179,235,1715,50,132,8123,1773,9896,-0.072124,0.0655056,-0.995242,0
3637,0,94,134,886,28,69,4848,940,5788,-0.0720353,0.0669447,-0.995153,0
2359,0,73,96,700,21,55,3304,759,4063,-0.073889,0.0648168,-0.995158,0
5575,0,171,225,1724,82,133,7910,1804,9714,-0.0698208,0.0515555,-0.996226,0
5631,0,164,217,2099,101,166,8378,1775,10153,-0.0705645,0.0554342,-0.995966,0
5638,0,162,252,1543,48,122,7765,1826,9591,-0.0672558,0.0370136,-0.997049,0
