Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7300,0,0,0,0,1259,350,8909,2681,11590,0.0179248,0.143228,-0.989528,0
3543,0,0,0,0,704,178,4425,1040,5465,0.0152891,0.115787,-0.993157,0
2233,0,0,0,0,408,100,2741,406,3147,0.0163019,0.112829,-0.993481,0
2848,0,0,0,0,523,121,3492,881,4373,0.0129664,0.0772893,-0.996924,0
2271,0,0,0,0,436,116,2823,1162,3985,0.00556637,0.0381532,-0.999256,0
2812,0,0,0,0,437,109,3358,1646,5004,0.00271123,0.0257989,-0.999663,0
2231,0,0,0,0,429,108,2768,1204,3972,1.91442e-05,0.0232502,-0.99973,0
2532,0,0,0,0,426,110,3068,1376,4444,-0.00205358,0.0220079,-0.999756,0
2226,0,0,0,0,439,113,2778,1202,3980,-0.00360055,0.021342,-0.999766,0
3133,0,0,0,0,423,112,3668,1155,4823,-0.00467865,0.0210379,-0.999768,0
2265,0,0,0,0,457,127,2849,1281,4130,-0.00547051,0.0211922,-0.999761,0
2368,0,0,0,0,441,116,2925,1338,4263,-0.00566824,0.0214635,-0.999753,0
1938,0,0,0,0,376,92,2406,1056,3462,-0.00613529,0.0215271,-0.999749,0
7812,0,0,0,0,959,212,8983,2359,11342,-0.00502066,0.0221269,-0.999742,0
3242,0,0,0,0,723,172,4137,1803,5940,-0.00366081,0.0227207,-0.999735,0
7430,0,0,0,0,1309,243,8982,2466,11448,-0.00315084,0.0243611,-0.999698,0
4455,0,0,0,0,662,166,5283,1863,7146,-0.00264546,0.0249197,-0.999686,0
2706,0,0,0,0,530,125,3361,1364,4725,-0.00249472,0.0245896,-0.999694,0
2154,0,0,0,0,426,107,2687,1213,3900,-0.00194591,0.0244686,-0.999699,0
6359,0,0,0,0,872,222,7453,1835,9288,-0.000362905,0.0220303,-0.999757,0
2654,0,0,0,0,512,127,3293,1553,4846,-0.00148777,0.0169818,-0.999855,0
2779,0,0,0,0,507,124,3410,1269,4679,-0.0041173,0.00784166,-0.999961,0
2702,0,0,0,0,501,121,3324,1101,4425,-0.00927836,-0.010305,-0.999904,0
3970,0,0,0,0,791,270,5031,2097,7128,-0.013364,-0.0211626,-0.999687,0
4360,0,0,0,0,700,184,5244,1618,6862,-0.0167524,-0.0507332,-0.998572,0
4969,0,0,0,0,722,183,5874,1515,7389,-0.0107402,-0.0367455,-0.999267,0
4002,0,0,0,0,777,225,5004,1888,6892,-0.0104093,-0.0153586,-0.999828,0
3827,0,0,0,0,845,223,4895,1885,6780,-0.018016,-0.00422926,-0.999829,0
3913,0,0,0,0,782,201,4896,2256,7152,-0.0193926,0.0117104,-0.999743,0
2973,0,0,0,0,551,136,3660,1126,4786,-0.0214364,0.0262185,-0.999426,0
2038,0,0,0,0,422,95,2555,868,3423,-0.0333054,0.0410835,-0.998601,0
2040,0,0,0,0,383,110,2533,1055,3588,-0.0341563,0.0479517,-0.998266,0
8107,0,0,0,0,1360,264,9731,1735,11466,-0.0486359,0.0374043,-0.998116,0
3877,0,0,0,0,737,238,4852,1912,6764,-0.0281369,0.00830186,-0.99957,0
3197,0,0,0,0,841,204,4242,1776,6018,-0.020701,-0.0176391,-0.99963,0
6955,0,0,0,0,1169,304,8428,2022,10450,0.000177935,-0.0433935,-0.999058,0
5236,0,0,0,0,869,228,6333,1652,7985,0.0163918,-0.0461446,-0.9988,0
3893,0,0,0,0,1246,285,5424,1449,6873,0.0256841,-0.0656534,-0.997512,0
2910,0,0,0,0,635,151,3696,1019,4715,0.050943,-0.0883225,-0.994789,0
2822,0,0,0,0,570,136,3528,1125,4653,0.04878,-0.09024,-0.994725,0
2645,0,0,0,0,504,122,3271,832,4103,0.0583754,-0.13183,-0.989552,0
3210,0,0,0,0,521,143,3874,1019,4893,0.0397108,-0.151808,-0.987612,0
4954,0,0,0,0,828,192,5974,1538,7512,0.0253786,-0.259832,-0.96532,0
4734,0,0,0,0,852,239,5825,1758,7583,0.0163141,-0.282846,-0.959027,0
3355,0,0,0,0,609,159,4123,991,5114,0.0250847,-0.368607,-0.929247,0
4434,0,0,0,0,895,207,5536,2110,7646,0.0227246,-0.335677,-0.941703,0
4483,0,0,0,0,700,174,5357,1653,7010,0.016121,-0.29646,-0.954909,0
6147,0,0,0,0,977,245,7369,2675,10044,-0.00024871,-0.1799,-0.983685,0
6178,0,0,0,0,993,240,7411,3468,10879,-0.00935677,-0.147655,-0.988995,0
4154,0,0,0,0,635,152,4941,2293,7234,-0.0130737,-0.146804,-0.989079,0
5710,0,0,0,0,797,195,6702,2931,9633,-0.00310694,-0.195595,-0.98068,0
6331,0,0,0,0,772,190,7293,3353,10646,0.0565049,-0.37226,-0.926407,0
3386,0,0,0,0,360,91,3837,1717,5554,0.0451037,-0.290575,-0.955789,0
1892,0,0,0,0,195,50,2137,967,3104,0.0252335,-0.190499,-0.981363,0
2118,0,0,0,0,271,67,2456,1031,3487,0.0273484,-0.170854,-0.984917,0
6887,0,0,0,0,1250,272,8409,2899,11308,0.0247125,-0.28103,-0.959381,0
6899,0,0,0,0,1259,328,8486,2725,11211,0.0246342,-0.360663,-0.932371,0
4868,0,0,0,0,900,232,6000,1289,7289,0.0250644,-0.44327,-0.896037,0
6174,0,0,0,0,1212,334,7720,1278,8998,0.0416417,-0.588473,-0.807444,0
7418,0,0,0,0,1299,340,9057,-1000,-1000,-1,-1,-1,0
5975,0,0,0,0,1226,351,7552,2256,9808,0.00809515,-0.222844,-0.974821,0
5888,0,0,0,0,1184,280,7352,1744,9096,0.0138477,-0.446698,-0.894578,0
5750,0,0,0,0,985,234,6969,1380,8349,0.0217344,-0.601705,-0.798423,0
5436,0,0,0,0,810,205,6451,-1000,-1000,-1,-1,-1,0
6975,0,0,0,0,1378,278,8631,2178,10809,-0.00404375,-0.444167,-0.895935,0
4844,0,0,0,0,848,209,5901,1407,7308,-0.0323914,-0.593084,-0.804489,0
6499,0,0,0,0,1280,326,8105,4065,12170,0.028082,-0.37865,-0.925114,0
7190,0,0,0,0,1073,269,8532,976,9508,-0.0680733,-0.655661,-0.75198,0
3341,0,0,0,0,794,203,4338,-1000,-1000,-1,-1,-1,0
6759,0,0,0,0,1478,392,8629,1314,9943,-0.0429031,-0.367671,-0.928966,0
7686,0,0,0,0,1145,213,9044,1102,10146,-0.0847443,-0.602334,-0.793733,0
3389,0,0,0,0,610,139,4138,-1000,-1000,-1,-1,-1,0
3345,0,0,0,0,562,132,4039,2715,6754,-0.0612079,-0.30016,-0.951923,0
3956,0,0,0,0,610,145,4711,1134,5845,-0.0763393,-0.461627,-0.883784,0
7037,0,0,0,0,943,272,8252,-1000,-1000,-1,-1,-1,0
3154,0,0,0,0,520,138,3812,831,4643,-0.0307374,-0.243315,-0.96946,0
2513,0,0,0,0,487,114,3114,1032,4146,-0.0142191,-0.362532,-0.931863,0
5649,0,0,0,0,790,271,6710,2028,8738,-0.000221091,-0.587167,-0.809466,0
6039,0,0,0,0,694,163,6896,2010,8906,0.0102827,-0.704189,-0.709938,0
6256,0,0,0,0,697,164,7117,-1000,-1000,-1,-1,-1,0
3327,0,0,0,0,555,150,4032,1671,5703,-0.0218118,-0.380288,-0.924611,0
3377,0,0,0,0,700,209,4286,1029,5315,-0.0315605,-0.511506,-0.8587,0
5424,0,0,0,0,1012,259,6695,-1000,-1000,-1,-1,-1,0
6952,0,0,0,0,804,195,7951,1165,9116,0.00808238,-0.342287,-0.939561,0
2810,0,0,0,0,427,101,3338,816,4154,0.00298772,-0.59403,-0.804437,0
8246,0,0,0,0,805,210,9261,-1000,-1000,-1,-1,-1,0
2672,0,0,0,0,366,102,3140,1029,4169,-0.0271056,-0.32654,-0.944795,0
5285,0,0,0,0,978,220,6483,1973,8456,-0.0263696,-0.568052,-0.82257,0
5914,0,0,0,0,1407,308,7629,3368,10997,-0.0159842,-0.61777,-0.786196,0
3885,0,0,0,0,870,231,4986,-1000,-1000,-1,-1,-1,0
3844,0,0,0,0,1016,257,5117,1197,6314,-0.0169471,-0.454889,-0.890387,0
3506,0,0,0,0,724,180,4410,-1000,-1000,-1,-1,-1,0
3580,0,0,0,0,633,153,4366,1448,5814,0.0233216,-0.273818,-0.961499,0
3598,0,0,0,0,573,148,4319,786,5105,0.0366479,-0.487285,-0.872474,0
4021,0,0,0,0,793,176,4990,1444,6434,0.0659755,-0.672958,-0.736733,0
5840,0,0,0,0,624,160,6624,-1000,-1000,-1,-1,-1,0
3264,0,0,0,0,541,127,3932,1466,5398,-0.0793962,-0.146265,-0.986054,0
5801,0,0,0,0,769,193,6763,1228,7991,-0.136489,-0.37899,-0.91528,0
6260,0,0,0,0,920,214,7394,825,8219,-0.141865,-0.528525,-0.83698,0
3712,0,0,0,0,576,157,4445,896,5341,-0.100278,-0.602015,-0.792163,0
3570,0,0,0,0,535,141,4246,1037,5283,-0.0890435,-0.65812,-0.747629,0
6700,0,0,0,0,1145,255,8100,1917,10017,-0.0930971,-0.672845,-0.733902,0
4939,0,0,0,0,645,180,5764,1319,7083,-0.109723,-0.665624,-0.738177,0
4309,0,0,0,0,842,195,5346,1232,6578,-0.13824,-0.636534,-0.758758,0
4231,0,0,0,0,680,187,5098,1287,6385,-0.145048,-0.610098,-0.778936,0
2276,0,0,0,0,324,85,2685,546,3231,-0.142779,-0.559137,-0.816689,0
2739,0,0,0,0,463,120,3322,607,3929,-0.13431,-0.536237,-0.833314,0
6800,0,0,0,0,1036,289,8125,1565,9690,-0.109109,-0.469541,-0.876143,0
5296,0,0,0,0,707,196,6199,894,7093,-0.0970657,-0.463396,-0.880819,0
6877,0,0,0,0,1119,254,8250,1589,9839,-0.0867302,-0.461642,-0.882817,0
5901,0,0,0,0,857,214,6972,1606,8578,-0.0861892,-0.41776,-0.90446,0
5943,0,0,0,0,882,215,7040,1726,8766,-0.0953937,-0.38599,-0.917557,0
3071,0,0,0,0,467,114,3652,910,4562,-0.0808294,-0.358031,-0.930205,0
6846,0,0,0,0,1029,242,8117,1623,9740,-0.0719921,-0.356368,-0.931568,0
4416,0,0,0,0,657,159,5232,1343,6575,-0.0551493,-0.343187,-0.937647,0
4406,0,0,0,0,632,179,5217,1415,6632,-0.0393545,-0.254729,-0.966211,0
5913,0,0,0,0,831,209,6953,2412,9365,-0.0259262,-0.114772,-0.993053,0
5863,0,0,0,0,889,243,6995,3048,10043,-0.0242901,-0.0365667,-0.999036,0
5915,0,0,0,0,858,243,7016,3378,10394,-0.0226961,-0.0138489,-0.999647,0
4020,0,0,0,0,584,163,4767,2291,7058,-0.0211078,-0.00800669,-0.999745,0
5293,0,0,0,0,723,182,6198,2555,8753,-0.0205335,-0.00678652,-0.999766,0
3715,0,0,0,0,551,147,4413,2152,6565,-0.0199915,-0.00556096,-0.999785,0
6405,0,0,0,0,932,231,7568,3602,11170,-0.0193042,-0.00542767,-0.999799,0
4291,0,0,0,0,603,165,5059,2616,7675,-0.0191354,-0.00561575,-0.999801,0
4429,0,0,0,0,603,151,5183,2458,7641,-0.0191939,-0.0066496,-0.999793,0
5813,0,0,0,0,852,204,6869,3267,10136,-0.0211171,-0.00669348,-0.999755,0
5795,0,0,0,0,791,199,6785,3817,10602,-0.0223912,-0.00876009,-0.999711,0
3139,0,0,0,0,421,121,3681,1652,5333,-0.0220629,-0.0120677,-0.999684,0
3618,0,0,0,0,531,131,4280,2117,6397,-0.0202176,-0.00977621,-0.999748,0
9905,0,0,0,0,1445,354,11704,4678,16382,-0.0201217,-0.0116947,-0.999729,0
2550,0,0,0,0,409,102,3061,1520,4581,-0.0197712,-0.00883345,-0.999766,0
2551,0,0,0,0,376,93,3020,1432,4452,-0.0197416,-0.00910016,-0.999764,0
3930,0,0,0,0,597,170,4697,1995,6692,-0.020171,-0.0103479,-0.999743,0
7032,0,0,0,0,977,283,8292,2651,10943,-0.0174535,-0.00940401,-0.999804,0
2627,0,0,0,0,401,98,3126,1218,4344,-0.0179064,-0.00897701,-0.9998,0
1823,0,0,0,0,297,82,2202,1015,3217,-0.0186467,-0.00846039,-0.99979,0
10194,0,0,0,0,1461,254,11909,3071,14980,-0.0160146,-0.00591997,-0.999854,0
3019,0,0,0,0,440,116,3575,1447,5022,-0.0163444,-0.00594197,-0.999849,0
2605,0,0,0,0,436,115,3156,1421,4577,-0.0172898,-0.0133409,-0.999762,0
3282,0,0,0,0,411,137,3830,1759,5589,-0.018474,-0.0141809,-0.999729,0
1838,0,0,0,0,311,86,2235,1055,3290,-0.0200374,-0.0136653,-0.999706,0
3998,0,0,0,0,749,200,4947,2237,7184,-0.0219144,-0.015869,-0.999634,0
