Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
2825,0,0,0,0,436,103,3364,980,4344,-0.00463549,0.0218669,-0.99975,0
2648,0,0,0,0,414,102,3164,898,4062,-0.00429762,0.0228305,-0.99973,0
2900,0,0,0,0,524,123,3547,922,4469,-0.00832561,0.0203308,-0.999759,0
2633,0,0,0,0,413,106,3152,953,4105,-0.00855662,0.0210403,-0.999742,0
2601,0,0,0,0,440,103,3144,929,4073,-0.00482775,0.0225989,-0.999733,0
2563,0,0,0,0,455,105,3123,894,4017,-0.00513754,0.0232211,-0.999717,0
2581,0,0,0,0,428,103,3112,867,3979,-0.00177302,0.0246894,-0.999694,0
2558,0,0,0,0,436,105,3099,860,3959,-0.00373167,0.0231208,-0.999726,0
2607,0,0,0,0,424,111,3142,893,4035,-0.00410115,0.0228903,-0.99973,0
2636,0,0,0,0,413,106,3155,922,4077,-0.00629071,0.0213623,-0.999752,0
2875,0,0,0,0,417,108,3400,920,4320,-0.00952316,0.0191609,-0.999771,0
2662,0,0,0,0,492,104,3258,943,4201,-0.00440818,0.0231598,-0.999722,0
2583,0,0,0,0,412,101,3096,903,3999,-0.00420457,0.0209689,-0.999771,0
2628,0,0,0,0,478,105,3211,900,4111,-0.0100447,0.0216295,-0.999716,0
2714,0,0,0,0,443,126,3283,908,4191,-0.00812608,0.0220048,-0.999725,0
2612,0,0,0,0,475,104,3191,844,4035,-0.00718888,0.0195419,-0.999783,0
2659,0,0,0,0,537,113,3309,873,4182,-0.00822664,0.0232555,-0.999696,0
2489,0,0,0,0,433,103,3025,878,3903,-0.00824489,0.0217262,-0.99973,0
2847,0,0,0,0,479,104,3430,1115,4545,-0.00603986,0.0220206,-0.999739,0
2691,0,0,0,0,483,112,3286,870,4156,-0.00320714,0.0245884,-0.999693,0
2595,0,0,0,0,418,102,3115,956,4071,-0.00390191,0.0235034,-0.999716,0
2495,0,0,0,0,507,108,3110,864,3974,-0.0102846,0.0198427,-0.99975,0
2630,0,0,0,0,414,102,3146,964,4110,-0.00528748,0.0227113,-0.999728,0
2639,0,0,0,0,448,107,3194,860,4054,-0.00821325,0.0186096,-0.999793,0
2489,0,0,0,0,436,124,3049,924,3973,-0.00761581,0.0192655,-0.999786,0
2688,0,0,0,0,465,116,3269,907,4176,-0.00795853,0.0195048,-0.999778,0
2662,0,0,0,0,420,105,3187,852,4039,-0.00537396,0.0218989,-0.999746,0
2634,0,0,0,0,413,101,3148,939,4087,-0.00434214,0.0219912,-0.999749,0
2671,0,0,0,0,428,128,3227,912,4139,-0.00496933,0.023299,-0.999716,0
2572,0,0,0,0,422,103,3097,882,3979,-0.00378243,0.0227584,-0.999734,0
2685,0,0,0,0,458,108,3251,1008,4259,-0.00636225,0.0213203,-0.999753,0
2710,0,0,0,0,466,110,3286,875,4161,-0.0042071,0.0225118,-0.999738,0
2599,0,0,0,0,626,111,3336,926,4262,-0.00631848,0.0217774,-0.999743,0
2599,0,0,0,0,463,116,3178,899,4077,-0.00623912,0.022639,-0.999724,0
2578,0,0,0,0,601,125,3304,910,4214,-0.00787848,0.0215386,-0.999737,0
2660,0,0,0,0,461,128,3249,865,4114,-0.00639223,0.0243801,-0.999682,0
2636,0,0,0,0,474,107,3217,960,4177,-0.00508611,0.0232502,-0.999717,0
3379,0,0,0,0,684,149,4212,1168,5380,-0.00589815,0.0222213,-0.999736,0
2789,0,0,0,0,472,100,3361,925,4286,-0.00401396,0.0234157,-0.999718,0
2664,0,0,0,0,484,102,3250,820,4070,-0.00518448,0.0221459,-0.999741,0
2740,0,0,0,0,420,105,3265,995,4260,-0.00886829,0.0218914,-0.999721,0
2576,0,0,0,0,420,112,3108,928,4036,-0.0084535,0.0206902,-0.99975,0
2644,0,0,0,0,429,111,3184,923,4107,-0.00818493,0.0206682,-0.999753,0
2641,0,0,0,0,428,113,3182,965,4147,-0.00718694,0.0226277,-0.999718,0
2631,0,0,0,0,423,128,3182,1014,4196,-0.00631056,0.0214681,-0.99975,0
2630,0,0,0,0,490,107,3227,829,4056,-0.00903097,0.0204994,-0.999749,0
2733,0,0,0,0,527,109,3369,917,4286,-0.00764736,0.0204816,-0.999761,0
2737,0,0,0,0,478,110,3325,920,4245,-0.00598144,0.0228661,-0.999721,0
2694,0,0,0,0,455,106,3255,883,4138,-0.00549922,0.021554,-0.999753,0
2591,0,0,0,0,537,108,3236,977,4213,-0.00685764,0.0214726,-0.999746,0
2590,0,0,0,0,581,113,3284,907,4191,-0.00597672,0.0225338,-0.999728,0
2651,0,0,0,0,578,107,3336,862,4198,-0.00549747,0.0223289,-0.999736,0
2650,0,0,0,0,442,115,3207,965,4172,-0.00432428,0.0221773,-0.999745,0
2565,0,0,0,0,464,106,3135,861,3996,-0.00794726,0.0212293,-0.999743,0
2530,0,0,0,0,428,111,3069,913,3982,-0.00317373,0.0232454,-0.999725,0
2513,0,0,0,0,455,134,3102,893,3995,-0.00707566,0.0201813,-0.999771,0
2676,0,0,0,0,477,106,3259,877,4136,-0.00317101,0.0230898,-0.999728,0
2774,0,0,0,0,447,103,3324,926,4250,-0.00629675,0.0220018,-0.999738,0
2819,0,0,0,0,488,102,3409,879,4288,-0.00936078,0.0201032,-0.999754,0
2840,0,0,0,0,425,108,3373,902,4275,-0.00353577,0.0224997,-0.999741,0
2553,0,0,0,0,427,108,3088,959,4047,-0.00830465,0.0195816,-0.999774,0
2599,0,0,0,0,454,112,3165,868,4033,-0.00295304,0.0231711,-0.999727,0
2566,0,0,0,0,423,118,3107,901,4008,-0.00396396,0.0227904,-0.999732,0
2575,0,0,0,0,483,107,3165,884,4049,-0.00348795,0.0236519,-0.999714,0
2674,0,0,0,0,414,105,3193,936,4129,-0.008648,0.0196362,-0.99977,0
2489,0,0,0,0,438,107,3034,957,3991,-0.00490899,0.0225655,-0.999733,0
2529,0,0,0,0,409,102,3040,827,3867,-0.0076786,0.0217959,-0.999733,0
2799,0,0,0,0,412,102,3313,925,4238,-0.00553124,0.022003,-0.999743,0
2693,0,0,0,0,453,118,3264,1002,4266,-0.00798917,0.0220313,-0.999725,0
2598,0,0,0,0,480,106,3184,887,4071,-0.00639336,0.024535,-0.999679,0
2568,0,0,0,0,473,115,3156,1050,4206,-0.00825197,0.0214597,-0.999736,0
2552,0,0,0,0,490,193,3235,842,4077,-0.00646433,0.0206249,-0.999766,0
2573,0,0,0,0,487,130,3190,844,4034,-0.00694742,0.0185829,-0.999803,0
2613,0,0,0,0,418,106,3137,959,4096,-0.00642887,0.0208494,-0.999762,0
2507,0,0,0,0,419,104,3030,1013,4043,-0.0048143,0.022096,-0.999744,0
2574,0,0,0,0,475,125,3174,849,4023,-0.00417795,0.0226266,-0.999735,0
2986,0,0,0,0,472,127,3585,1077,4662,-0.00862566,0.020688,-0.999749,0
2685,0,0,0,0,421,108,3214,892,4106,-0.00407598,0.0231158,-0.999725,0
2527,0,0,0,0,543,141,3211,934,4145,-0.00486527,0.0225782,-0.999733,0
2764,0,0,0,0,432,108,3304,942,4246,-0.0067181,0.0216573,-0.999743,0
2799,0,0,0,0,434,102,3335,1000,4335,-0.00646597,0.0211503,-0.999755,0
2664,0,0,0,0,420,105,3189,941,4130,-0.00670188,0.0213456,-0.99975,0
2918,0,0,0,0,455,107,3480,1043,4523,-0.00663932,0.0218723,-0.999739,0
2581,0,0,0,0,423,118,3122,940,4062,-0.00367476,0.021761,-0.999756,0
2540,0,0,0,0,428,107,3075,1021,4096,-0.00805548,0.0208644,-0.99975,0
3325,0,0,0,0,427,101,3853,949,4802,-0.0029771,0.0229998,-0.999731,0
2521,0,0,0,0,440,111,3072,903,3975,-0.00555531,0.022425,-0.999733,0
2615,0,0,0,0,425,106,3146,886,4032,-0.00596813,0.0209896,-0.999762,0
2614,0,0,0,0,420,104,3138,1046,4184,-0.0076383,0.0218054,-0.999733,0
2621,0,0,0,0,429,103,3153,835,3988,-0.00659555,0.022891,-0.999716,0
2582,0,0,0,0,575,129,3286,999,4285,-0.00806116,0.0212531,-0.999742,0
2660,0,0,0,0,428,102,3190,908,4098,-0.00766351,0.0205982,-0.999759,0
2752,0,0,0,0,449,126,3327,905,4232,-0.00401909,0.0229024,-0.99973,0
2602,0,0,0,0,427,103,3132,843,3975,-0.00704111,0.0210981,-0.999753,0
3523,0,0,0,0,644,135,4302,1218,5520,-0.00730762,0.0209794,-0.999753,0
2613,0,0,0,0,496,121,3230,895,4125,-0.00883634,0.0207322,-0.999746,0
2991,0,0,0,0,459,126,3576,887,4463,-0.00667307,0.0208398,-0.999761,0
2680,0,0,0,0,454,102,3236,970,4206,-0.00820787,0.0191962,-0.999782,0
2727,0,0,0,0,476,110,3313,909,4222,-0.00617325,0.0192218,-0.999796,0
2500,0,0,0,0,484,107,3091,843,3934,-0.00421667,0.020785,-0.999775,0
2758,0,0,0,0,419,101,3278,999,4277,-0.00517469,0.0227043,-0.999729,0
2574,0,0,0,0,427,106,3107,831,3938,-0.0090258,0.0235678,-0.999682,0
2616,0,0,0,0,412,107,3135,825,3960,-0.00281411,0.0232243,-0.999726,0
2740,0,0,0,0,420,102,3262,998,4260,-0.00828621,0.0206585,-0.999752,0
2712,0,0,0,0,421,108,3241,1056,4297,-0.0062476,0.0212683,-0.999754,0
2772,0,0,0,0,421,116,3309,875,4184,-0.00764457,0.0186027,-0.999798,0
2561,0,0,0,0,525,109,3195,874,4069,-0.00324147,0.0224276,-0.999743,0
2696,0,0,0,0,435,110,3241,915,4156,-0.00831543,0.0205608,-0.999754,0
2578,0,0,0,0,531,112,3221,957,4178,-0.00601347,0.0213523,-0.999754,0
2586,0,0,0,0,448,116,3150,879,4029,-0.00653932,0.0199888,-0.999779,0
2656,0,0,0,0,541,107,3304,915,4219,-0.00502981,0.0225898,-0.999732,0
2617,0,0,0,0,524,109,3250,876,4126,-0.00577548,0.019112,-0.999801,0
2689,0,0,0,0,460,103,3252,958,4210,-0.00738388,0.0216813,-0.999738,0
2578,0,0,0,0,420,103,3101,849,3950,-0.00439047,0.0239925,-0.999702,0
2914,0,0,0,0,432,103,3449,1006,4455,-0.0059328,0.0211597,-0.999759,0
2562,0,0,0,0,420,107,3089,995,4084,-0.00811804,0.0201584,-0.999764,0
2843,0,0,0,0,467,107,3417,887,4304,-0.00688752,0.0210339,-0.999755,0
2561,0,0,0,0,485,113,3159,910,4069,-0.00903402,0.0181875,-0.999794,0
2488,0,0,0,0,463,124,3075,1020,4095,-0.00473189,0.0228863,-0.999727,0
2526,0,0,0,0,450,145,3121,918,4039,-0.00628273,0.0216743,-0.999745,0
2830,0,0,0,0,462,123,3415,876,4291,-0.00479948,0.0212082,-0.999764,0
2502,0,0,0,0,446,103,3051,866,3917,-0.00555569,0.0218185,-0.999747,0
2526,0,0,0,0,418,109,3053,958,4011,-0.00625785,0.023042,-0.999715,0
2541,0,0,0,0,419,106,3066,878,3944,-0.0046199,0.0239215,-0.999703,0
2563,0,0,0,0,427,108,3098,992,4090,-0.00859634,0.0215906,-0.99973,0
2530,0,0,0,0,433,107,3070,861,3931,-0.00673355,0.022197,-0.999731,0
2444,0,0,0,0,436,109,2989,935,3924,-0.00682739,0.0212976,-0.99975,0
2532,0,0,0,0,418,111,3061,881,3942,-0.00578442,0.020999,-0.999763,0
2548,0,0,0,0,428,137,3113,857,3970,-0.00887901,0.0183343,-0.999792,0
2551,0,0,0,0,424,102,3077,987,4064,-0.00629818,0.022229,-0.999733,0
2634,0,0,0,0,504,106,3244,912,4156,-0.00729316,0.0177752,-0.999815,0
2587,0,0,0,0,415,103,3105,852,3957,-0.00600282,0.0195848,-0.99979,0
2731,0,0,0,0,424,120,3275,937,4212,-0.00406846,0.022233,-0.999745,0
2585,0,0,0,0,416,102,3103,839,3942,-0.00711898,0.0207637,-0.999759,0
3410,0,0,0,0,434,113,3957,996,4953,-0.00616767,0.0198241,-0.999785,0
2540,0,0,0,0,413,102,3055,861,3916,-0.00511706,0.0220813,-0.999743,0
2574,0,0,0,0,416,104,3094,978,4072,-0.00476458,0.0229149,-0.999726,0
2660,0,0,0,0,496,107,3263,914,4177,-0.00499201,0.023658,-0.999708,0
2556,0,0,0,0,420,102,3078,1014,4092,-0.00738719,0.0197323,-0.999778,0
2486,0,0,0,0,456,104,3046,860,3906,-0.00597591,0.0214805,-0.999751,0
2686,0,0,0,0,455,108,3249,894,4143,-0.00238968,0.0238751,-0.999712,0
2620,0,0,0,0,420,101,3141,976,4117,-0.00686655,0.0211823,-0.999752,0
2754,0,0,0,0,457,107,3318,991,4309,-0.00432656,0.0227484,-0.999732,0
2695,0,0,0,0,474,111,3280,903,4183,-0.00382487,0.0223443,-0.999743,0
2634,0,0,0,0,433,127,3194,992,4186,-0.00332075,0.0225007,-0.999741,0
2628,0,0,0,0,464,103,3195,886,4081,-0.00670755,0.0205737,-0.999766,0
2572,0,0,0,0,415,105,3092,812,3904,-0.00634189,0.0178738,-0.99982,0
2720,0,0,0,0,416,102,3238,813,4051,-0.00640236,0.0189426,-0.9998,0
2667,0,0,0,0,595,116,3378,921,4299,-0.00755379,0.0208409,-0.999754,0
2576,0,0,0,0,425,117,3118,927,4045,-0.00642651,0.0210045,-0.999759,0
2575,0,0,0,0,427,118,3120,915,4035,-0.00824316,0.0215086,-0.999735,0
2654,0,0,0,0,426,101,3181,818,3999,-0.00928438,0.018294,-0.99979,0
2666,0,0,0,0,423,112,3201,926,4127,-0.00617633,0.0200232,-0.99978,0
2555,0,0,0,0,429,102,3086,872,3958,-0.0084049,0.0204703,-0.999755,0
2566,0,0,0,0,526,111,3203,906,4109,-0.00718747,0.0240127,-0.999686,0
2629,0,0,0,0,446,106,3181,830,4011,-0.0071609,0.0185488,-0.999802,0
2704,0,0,0,0,414,102,3220,966,4186,-0.00913133,0.0210737,-0.999736,0
2700,0,0,0,0,423,102,3225,864,4089,-0.00662585,0.0195474,-0.999787,0
2557,0,0,0,0,608,123,3288,956,4244,-0.00732615,0.0199763,-0.999774,0
2672,0,0,0,0,482,107,3261,883,4144,-0.00648057,0.02178,-0.999742,0
2590,0,0,0,0,438,106,3134,1044,4178,-0.00726936,0.0207848,-0.999758,0
2626,0,0,0,0,450,102,3178,878,4056,-0.00441821,0.0219604,-0.999749,0
2643,0,0,0,0,436,109,3188,979,4167,-0.00722477,0.0199087,-0.999776,0
2736,0,0,0,0,472,118,3326,829,4155,-0.00502882,0.0226089,-0.999732,0
2719,0,0,0,0,488,118,3325,1062,4387,-0.0060458,0.0210603,-0.99976,0
2761,0,0,0,0,418,104,3283,867,4150,-0.00376826,0.0217902,-0.999755,0
2504,0,0,0,0,422,105,3031,1025,4056,-0.005832,0.0213455,-0.999755,0
2553,0,0,0,0,510,122,3185,885,4070,-0.00514964,0.0211687,-0.999763,0
2633,0,0,0,0,441,107,3181,1032,4213,-0.00712715,0.0212772,-0.999748,0
2751,0,0,0,0,453,107,3311,876,4187,-0.0076528,0.0209377,-0.999751,0
2578,0,0,0,0,419,104,3101,972,4073,-0.00968664,0.0194305,-0.999764,0
2575,0,0,0,0,1270,113,3958,894,4852,-0.00486211,0.0213817,-0.99976,0
2785,0,0,0,0,469,104,3358,1003,4361,-0.00668141,0.0207389,-0.999763,0
2618,0,0,0,0,426,108,3152,901,4053,-0.00486363,0.0216745,-0.999753,0
2515,0,0,0,0,440,114,3069,909,3978,-0.0059026,0.0224114,-0.999732,0
3649,0,0,0,0,846,117,4612,916,5528,-0.0081594,0.0203778,-0.999759,0
2732,0,0,0,0,515,108,3355,926,4281,-0.00682481,0.0203859,-0.999769,0
2694,0,0,0,0,487,128,3309,896,4205,-0.00544576,0.0220884,-0.999741,0
2661,0,0,0,0,536,123,3320,1019,4339,-0.00535342,0.0211356,-0.999762,0
2565,0,0,0,0,434,129,3128,949,4077,-0.00668381,0.021124,-0.999755,0
2640,0,0,0,0,432,108,3180,922,4102,-0.00657015,0.0208488,-0.999761,0
2582,0,0,0,0,428,108,3118,886,4004,-0.00499842,0.0222661,-0.99974,0
2546,0,0,0,0,584,109,3239,1010,4249,-0.0051537,0.0220367,-0.999744,0
2588,0,0,0,0,420,105,3113,929,4042,-0.00612135,0.0205839,-0.99977,0
2605,0,0,0,0,415,104,3124,940,4064,-0.00887809,0.0202278,-0.999756,0
2539,0,0,0,0,434,106,3079,858,3937,-0.00808292,0.0182954,-0.9998,0
2570,0,0,0,0,419,102,3091,958,4049,-0.00444567,0.0225899,-0.999735,0
2671,0,0,0,0,461,116,3248,891,4139,-0.00548697,0.0210076,-0.999764,0
2760,0,0,0,0,492,107,3359,1009,4368,-0.00660091,0.0219702,-0.999737,0
2675,0,0,0,0,421,103,3199,868,4067,-0.00942872,0.0209372,-0.999736,0
2473,0,0,0,0,565,112,3150,885,4035,-0.00659598,0.0198072,-0.999782,0
2658,0,0,0,0,473,107,3238,830,4068,-0.00784816,0.0204552,-0.99976,0
2674,0,0,0,0,440,104,3218,844,4062,-0.00407876,0.02258,-0.999737,0
2771,0,0,0,0,458,108,3337,925,4262,-0.00531502,0.0212928,-0.999759,0
2614,0,0,0,0,416,103,3133,965,4098,-0.00712151,0.0204088,-0.999766,0
2690,0,0,0,0,488,125,3303,838,4141,-0.00373275,0.0221656,-0.999747,0
2697,0,0,0,0,419,106,3222,985,4207,-0.00819771,0.0200259,-0.999766,0
2587,0,0,0,0,425,104,3116,913,4029,-0.00670188,0.0218325,-0.999739,0
2589,0,0,0,0,472,102,3163,885,4048,-0.00273486,0.023359,-0.999723,0
2533,0,0,0,0,420,105,3058,892,3950,-0.00468777,0.0225553,-0.999735,0
2604,0,0,0,0,436,105,3145,938,4083,-0.00831745,0.020114,-0.999763,0
3885,0,0,0,0,709,148,4742,1138,5880,-0.0105853,0.0199513,-0.999745,0
2677,0,0,0,0,501,106,3284,949,4233,-0.00575518,0.0198479,-0.999787,0
2581,0,0,0,0,455,119,3155,839,3994,-0.00621057,0.0196518,-0.999788,0
2728,0,0,0,0,416,151,3295,945,4240,-0.00663315,0.0216204,-0.999744,0
2676,0,0,0,0,425,104,3205,894,4099,-0.00855384,0.0199691,-0.999764,0
2612,0,0,0,0,505,109,3226,973,4199,-0.00797842,0.0200446,-0.999767,0
2654,0,0,0,0,425,102,3181,862,4043,-0.0093496,0.0218796,-0.999717,0
2794,0,0,0,0,487,158,3439,951,4390,-0.00612467,0.0180896,-0.999818,0
2549,0,0,0,0,406,100,3055,836,3891,-0.00345293,0.0221579,-0.999749,0
2710,0,0,0,0,471,105,3286,919,4205,-0.0054282,0.0200063,-0.999785,0
2722,0,0,0,0,462,111,3295,850,4145,-0.00806578,0.0190592,-0.999786,0
2640,0,0,0,0,414,118,3172,879,4051,-0.00808771,0.0186644,-0.999793,0
2625,0,0,0,0,450,102,3177,846,4023,-0.00975733,0.0204563,-0.999743,0
2668,0,0,0,0,414,120,3202,804,4006,-0.00407131,0.0216291,-0.999758,0
2560,0,0,0,0,420,105,3085,787,3872,-0.00386088,0.021814,-0.999755,0
2631,0,0,0,0,454,110,3195,885,4080,-0.00565574,0.0180351,-0.999821,0
2551,0,0,0,0,391,101,3043,794,3837,-0.0091655,0.0193028,-0.999772,0
2785,0,0,0,0,484,100,3369,771,4140,-0.0057931,0.0227604,-0.999724,0
2505,0,0,0,0,424,97,3026,802,3828,-0.00532967,0.0222844,-0.999738,0
2653,0,0,0,0,944,104,3701,843,4544,-0.00433499,0.0211864,-0.999766,0
2650,0,0,0,0,381,93,3124,837,3961,-0.00769323,0.0178454,-0.999811,0
2522,0,0,0,0,425,108,3055,890,3945,-0.00778749,0.0196104,-0.999777,0
2596,0,0,0,0,399,99,3094,816,3910,-0.00833118,0.0180777,-0.999802,0
2802,0,0,0,0,547,105,3454,898,4352,-0.00798318,0.0202993,-0.999762,0
2601,0,0,0,0,458,97,3156,820,3976,-0.00764624,0.019716,-0.999776,0
2557,0,0,0,0,389,101,3047,835,3882,-0.0063843,0.0197085,-0.999786,0
2470,0,0,0,0,546,171,3187,714,3901,-0.00974408,0.0213076,-0.999725,0
2535,0,0,0,0,382,93,3010,818,3828,-0.00778086,0.0197011,-0.999776,0
2733,0,0,0,0,392,96,3221,732,3953,-0.00885184,0.020532,-0.99975,0
2460,0,0,0,0,472,92,3024,790,3814,-0.00700542,0.0203281,-0.999769,0
2485,0,0,0,0,365,92,2942,701,3643,-0.0081638,0.0197693,-0.999771,0
2553,0,0,0,0,366,96,3015,783,3798,-0.00663484,0.0185322,-0.999806,0
2619,0,0,0,0,391,92,3102,791,3893,-0.00571392,0.0207385,-0.999769,0
2676,0,0,0,0,502,135,3313,746,4059,-0.00669516,0.018313,-0.99981,0
2555,0,0,0,0,452,94,3101,708,3809,-0.00660299,0.0161449,-0.999848,0
2660,0,0,0,0,387,97,3144,757,3901,-0.00853282,0.0188449,-0.999786,0
2477,0,0,0,0,381,105,2963,706,3669,-0.00587171,0.0198212,-0.999786,0
3141,0,0,0,0,472,104,3717,664,4381,-0.00729814,0.0202575,-0.999768,0
2550,0,0,0,0,432,95,3077,718,3795,-0.00773794,0.0210014,-0.99975,0
2605,0,0,0,0,361,94,3060,773,3833,-0.00607469,0.0198692,-0.999784,0
2647,0,0,0,0,430,108,3185,727,3912,-0.00536932,0.0220324,-0.999743,0
2554,0,0,0,0,361,94,3009,782,3791,-0.00915837,0.0188523,-0.99978,0
2516,0,0,0,0,378,90,2984,749,3733,-0.0133408,0.0220103,-0.999669,0
2884,0,0,0,0,371,107,3362,948,4310,-0.0186851,0.0246658,-0.999521,0
2516,0,0,0,0,448,99,3063,1117,4180,-0.02061,0.0152513,-0.999671,0
2640,0,0,0,0,384,95,3119,1381,4500,-0.0283567,0.013369,-0.999509,0
2606,0,0,0,0,455,114,3175,1600,4775,-0.0391245,0.0150833,-0.99912,0
3894,0,0,0,0,672,144,4710,2332,7042,-0.00471586,0.0214954,-0.999758,0
2850,0,0,0,0,500,106,3456,1978,5434,-0.0130849,0.0194904,-0.999724,0
2881,0,0,0,0,497,110,3488,2302,5790,-0.0209671,0.0183351,-0.999612,0
2844,0,0,0,0,438,112,3394,2227,5621,-0.0337059,0.0138463,-0.999336,0
2792,0,0,0,0,448,112,3352,2502,5854,-0.0433745,0.016094,-0.998929,0
2732,0,0,0,0,505,118,3355,2451,5806,-0.0451892,0.0246086,-0.998675,0
2917,0,0,0,0,562,127,3606,2487,6093,-0.0486898,0.043835,-0.997852,0
2921,0,0,0,0,473,119,3513,2449,5962,-0.0517197,0.0654772,-0.996513,0
2738,0,0,0,0,465,112,3315,2177,5492,0.00759778,0.0143455,-0.999868,0
2602,0,0,0,0,466,123,3191,2218,5409,0.00753681,0.0321263,-0.999456,0
2791,0,0,0,0,665,165,3621,2306,5927,0.00687358,0.0447777,-0.998973,0
2596,0,0,0,0,474,116,3186,2227,5413,0.00354544,0.0533261,-0.998571,0
2682,0,0,0,0,526,116,3324,2261,5585,0.00399004,0.0667382,-0.997763,0
2573,0,0,0,0,513,137,3223,2055,5278,-0.00108793,0.0739913,-0.997258,0
2676,0,0,0,0,502,118,3296,2163,5459,0.00341952,0.0702862,-0.997521,0
2644,0,0,0,0,442,110,3196,1854,5050,0.00745641,0.0683959,-0.99763,0
2771,0,0,0,0,441,111,3323,1682,5005,0.0163707,0.0658331,-0.997696,0
2755,0,0,0,0,430,131,3316,1586,4902,-0.0127831,0.0316412,-0.999418,0
2682,0,0,0,0,441,111,3234,1724,4958,-0.00974955,0.027344,-0.999578,0
2706,0,0,0,0,468,105,3279,1455,4734,-0.0104848,0.0198869,-0.999747,0
2808,0,0,0,0,435,106,3349,1342,4691,-0.0097521,0.00730333,-0.999926,0
2543,0,0,0,0,402,103,3048,1013,4061,-0.00366807,-0.00682895,-0.99997,0
2885,0,0,0,0,392,101,3378,1141,4519,-0.00243288,0.0268037,-0.999638,0
2608,0,0,0,0,392,98,3098,1000,4098,-0.00582916,0.0246884,-0.999678,0
2569,0,0,0,0,388,93,3050,817,3867,-0.00832688,0.0220024,-0.999723,0
2468,0,0,0,0,369,99,2936,923,3859,-0.00565061,0.0177155,-0.999827,0
2518,0,0,0,0,645,99,3262,1158,4420,-0.00216368,0.0212878,-0.999771,0
2605,0,0,0,0,382,96,3083,887,3970,-0.0112953,0.030029,-0.999485,0
2580,0,0,0,0,364,92,3036,549,3585,-0.0142168,0.0266708,-0.999543,0
2556,0,0,0,0,442,90,3088,653,3741,-0.0189471,0.0206971,-0.999606,0
2572,0,0,0,0,385,119,3076,940,4016,-0.00071594,0.0145974,-0.999893,0
2460,0,0,0,0,409,96,2965,616,3581,-0.00133292,0.0101829,-0.999947,0
2582,0,0,0,0,400,107,3089,566,3655,0.0220411,-0.0248688,-0.999448,0
2478,0,0,0,0,382,88,2948,390,3338,0.00452802,-0.0814529,-0.996667,0
2553,0,0,0,0,362,88,3003,445,3448,0.00390685,-0.105326,-0.99443,0
2594,0,0,0,0,396,90,3080,422,3502,-0.00181616,-0.14968,-0.988733,0
2849,0,0,0,0,445,105,3399,586,3985,-0.0184462,-0.143676,-0.989453,0
2562,0,0,0,0,405,107,3074,709,3783,0.010408,0.0164399,-0.999811,0
2615,0,0,0,0,478,112,3205,745,3950,-0.000955879,0.0718961,-0.997412,0
2642,0,0,0,0,360,85,3087,771,3858,0.00993714,0.0201287,-0.999748,0
2736,0,0,0,0,354,97,3187,737,3924,0.0210521,-0.0277523,-0.999393,0
2544,0,0,0,0,370,85,2999,700,3699,0.0288137,-0.085247,-0.995943,0
2913,0,0,0,0,345,87,3345,729,4074,0.0328335,-0.133403,-0.990518,0
2567,0,0,0,0,344,89,3000,652,3652,0.0322353,-0.19498,-0.980277,0
2714,0,0,0,0,404,91,3209,645,3854,0.0247311,-0.266552,-0.963503,0
2496,0,0,0,0,329,76,2901,736,3637,0.0140815,-0.349757,-0.936734,0
2921,0,0,0,0,472,100,3493,862,4355,-0.00275322,-0.221487,-0.975159,0
2756,0,0,0,0,335,79,3170,810,3980,0.0205762,0.0575989,-0.998128,0
2614,0,0,0,0,391,89,3094,806,3900,0.01557,0.0344068,-0.999287,0
2736,0,0,0,0,428,122,3286,769,4055,0.0166116,0.0610446,-0.997997,0
2628,0,0,0,0,307,75,3010,798,3808,0.0172041,0.0551103,-0.998332,0
2374,0,0,0,0,204,50,2628,642,3270,0.0147433,-0.00722947,-0.999865,0
2424,0,0,0,0,218,75,2717,589,3306,0.0215276,0.0700577,-0.997311,0
2389,0,0,0,0,225,70,2684,549,3233,0.0202034,0.00252479,-0.999793,0
2512,0,0,0,0,222,57,2791,712,3503,0.0144157,-0.0624661,-0.997943,0
2330,0,0,0,0,210,56,2596,762,3358,0.0102729,-0.116069,-0.993188,0
2645,0,0,0,0,202,54,2901,829,3730,0.0193608,0.0469733,-0.998709,0
2519,0,0,0,0,264,50,2833,756,3589,0.0200895,0.0462635,-0.998727,0
2540,0,0,0,0,191,46,2777,791,3568,0.0299439,0.0594874,-0.99778,0
2517,0,0,0,0,179,46,2742,712,3454,0.0239836,-0.00707783,-0.999687,0
2446,0,0,0,0,181,48,2675,744,3419,0.019836,-0.0861775,-0.996082,0
2445,0,0,0,0,171,48,2664,627,3291,0.0116349,-0.161724,-0.986767,0
2508,0,0,0,0,313,72,2893,769,3662,0.00622434,-0.208642,-0.977972,0
2452,0,0,0,0,218,57,2727,674,3401,0.00241099,-0.275105,-0.961411,0
2632,0,0,0,0,300,70,3002,710,3712,0.00117573,-0.343606,-0.939113,0
2536,0,0,0,0,255,66,2857,820,3677,0.034566,0.0476563,-0.998265,0
2518,0,0,0,0,274,74,2866,695,3561,0.0398694,-0.0435336,-0.998256,0
2515,0,0,0,0,296,78,2889,757,3646,0.0441704,-0.116359,-0.992225,0
