Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7085,0,0,0,0,1225,358,8668,346,9014,-0.163193,0.256654,-0.952626,0
4510,0,0,0,0,832,204,5546,305,5851,0.000824987,0.0392508,-0.999229,0
8552,0,0,0,0,1245,307,10104,432,10536,0.00753318,0.0344674,-0.999377,0
5997,0,0,0,0,1101,301,7399,566,7965,0.00909686,0.0337693,-0.999388,0
6050,0,0,0,0,1152,276,7478,573,8051,0.00794131,0.0331118,-0.99942,0
8220,0,0,0,0,1098,272,9590,604,10194,0.00621962,0.0332581,-0.999427,0
6176,0,0,0,0,1164,276,7616,522,8138,0.00438844,0.0344979,-0.999395,0
6067,0,0,0,0,1137,279,7483,519,8002,0.00504907,0.0359145,-0.999342,0
4192,0,0,0,0,753,191,5136,351,5487,0.00571168,0.0366828,-0.999311,0
6967,0,0,0,0,1329,333,8629,594,9223,0.00600944,0.0382143,-0.999251,0
6378,0,0,0,0,860,221,7459,389,7848,0.0058289,0.0413034,-0.99913,0
4561,0,0,0,0,821,206,5588,374,5962,0.00631818,0.0440473,-0.99901,0
4549,0,0,0,0,856,222,5627,330,5957,0.00559479,0.0475649,-0.998852,0
7076,0,0,0,0,1296,331,8703,492,9195,0.00771332,0.0524862,-0.998592,0
6125,0,0,0,0,1192,274,7591,479,8070,0.0134494,0.0594861,-0.998139,0
5985,0,0,0,0,1203,281,7469,497,7966,0.0121882,0.0578906,-0.998249,0
5944,0,0,0,0,812,191,6947,310,7257,0.0118248,0.0643074,-0.99786,0
4725,0,0,0,0,829,203,5757,341,6098,0.00959328,0.0627317,-0.997984,0
4125,0,0,0,0,796,192,5113,345,5458,0.01156,0.064706,-0.997837,0
6837,0,0,0,0,1334,324,8495,601,9096,0.0153423,0.066048,-0.997698,0
6387,0,0,0,0,1127,273,7787,582,8369,0.0182418,0.0690429,-0.997447,0
7422,0,0,0,0,1236,311,8969,720,9689,0.0174632,0.0684366,-0.997503,0
6846,0,0,0,0,1269,302,8417,766,9183,0.0187096,0.0756733,-0.996957,0
6921,0,0,0,0,1320,307,8548,767,9315,0.0118841,0.0807917,-0.99666,0
7101,0,0,0,0,1309,304,8714,744,9458,0.0142989,0.0843635,-0.996332,0
7035,0,0,0,0,1359,325,8719,819,9538,0.0231389,0.0850435,-0.996109,0
7110,0,0,0,0,1364,325,8799,910,9709,0.0170911,0.079503,-0.996688,0
7466,0,0,0,0,1219,224,8909,510,9419,0.0206178,0.0780608,-0.996735,0
6672,0,0,0,0,1199,297,8168,746,8914,0.0201161,0.0844172,-0.996227,0
7074,0,0,0,0,1356,361,8791,776,9567,0.024668,0.0892081,-0.995707,0
7184,0,0,0,0,1319,331,8834,766,9600,0.0196605,0.0841182,-0.996262,0
6670,0,0,0,0,1268,288,8226,671,8897,0.0196864,0.0897914,-0.995766,0
6547,0,0,0,0,1221,293,8061,617,8678,0.0289767,0.0864558,-0.995834,0
6641,0,0,0,0,1082,289,8012,708,8720,0.0281312,0.0836363,-0.996099,0
6575,0,0,0,0,1091,299,7965,646,8611,0.0199903,0.0908906,-0.99566,0
6481,0,0,0,0,1072,274,7827,590,8417,0.023881,0.0983356,-0.994867,0
6121,0,0,0,0,960,242,7323,647,7970,0.00975081,0.0950282,-0.995427,0
5995,0,0,0,0,925,230,7150,632,7782,0.00507373,0.0970915,-0.995263,0
5928,0,0,0,0,879,221,7028,631,7659,-0.00144955,0.0965983,-0.995322,0
5995,0,0,0,0,875,216,7086,676,7762,-0.000211653,0.0957219,-0.995408,0
6027,0,0,0,0,919,214,7160,651,7811,0.0126703,0.0852787,-0.996277,0
6755,0,0,0,0,795,206,7756,808,8564,0.0172284,0.082513,-0.996441,0
5988,0,0,0,0,850,205,7043,731,7774,0.0162859,0.0820981,-0.996491,0
5787,0,0,0,0,580,141,6508,504,7012,0.0176424,0.0679792,-0.997531,0
5994,0,0,0,0,849,222,7065,791,7856,0.0213095,0.0776317,-0.996754,0
6238,0,0,0,0,861,212,7311,768,8079,0.0223059,0.0792607,-0.996604,0
6144,0,0,0,0,893,238,7275,728,8003,0.0224296,0.0817735,-0.996399,0
5858,0,0,0,0,796,200,6854,700,7554,0.022692,0.0750323,-0.996923,0
6001,0,0,0,0,787,198,6986,689,7675,0.0224624,0.0774887,-0.99674,0
6035,0,0,0,0,732,195,6962,675,7637,0.0159935,0.0781727,-0.996812,0
6089,0,0,0,0,681,175,6945,612,7557,0.0126772,0.0795241,-0.996752,0
6135,0,0,0,0,613,155,6903,596,7499,0.0107815,0.0751761,-0.997112,0
5841,0,0,0,0,577,150,6568,584,7152,0.0132069,0.106041,-0.994274,0
7624,0,0,0,0,802,184,8610,652,9262,0.0170325,0.0848612,-0.996247,0
6012,0,0,0,0,587,140,6739,485,7224,0.0197162,0.106511,-0.994116,0
5974,0,0,0,0,503,136,6613,479,7092,0.0192233,0.101516,-0.994648,0
6010,0,0,0,0,520,145,6675,548,7223,0.0237962,0.0781151,-0.99666,0
6127,0,0,0,0,591,150,6868,512,7380,0.0272818,0.085577,-0.995958,0
6115,0,0,0,0,633,169,6917,503,7420,0.0200864,0.109117,-0.993826,0
6257,0,0,0,0,777,196,7230,388,7618,0.0259745,0.095476,-0.995093,0
6265,0,0,0,0,833,207,7305,425,7730,0.0200813,0.0680902,-0.997477,0
6346,0,0,0,0,870,228,7444,480,7924,0.0564368,0.053367,-0.996979,0
6433,0,0,0,0,947,240,7620,458,8078,0.026621,0.065271,-0.997512,0
6618,0,0,0,0,983,255,7856,484,8340,0.0314367,0.0361156,-0.998853,0
6628,0,0,0,0,1071,259,7958,519,8477,0.0331684,0.0607444,-0.997602,0
6810,0,0,0,0,1012,261,8083,503,8586,0.016104,0.0515331,-0.998541,0
6739,0,0,0,0,1045,265,8049,482,8531,0.0131274,0.0576773,-0.998249,0
6766,0,0,0,0,1040,275,8081,513,8594,0.00737308,0.0563827,-0.998382,0
6032,0,0,0,0,714,180,6926,411,7337,0.0133554,0.0548469,-0.998405,0
6050,0,0,0,0,1046,255,7351,536,7887,0.0323064,0.0742081,-0.996719,0
6933,0,0,0,0,1244,322,8499,640,9139,0.0431487,0.142084,-0.988914,0
3880,0,0,0,0,660,154,4694,295,4989,0.0455539,0.131407,-0.990281,0
2737,0,0,0,0,447,111,3295,203,3498,0.0258142,0.0896394,-0.99564,0
3102,0,0,0,0,784,148,4034,289,4323,0.0305818,0.0953281,-0.994976,0
7240,0,0,0,0,1371,349,8960,674,9634,0.0264839,0.102818,-0.994348,0
7364,0,0,0,0,1449,346,9159,683,9842,0.00801797,0.199754,-0.979813,0
3895,0,0,0,0,711,172,4778,279,5057,-0.00171146,0.139482,-0.990223,0
2732,0,0,0,0,542,131,3405,270,3675,0.00778739,0.0946085,-0.995484,0
7134,0,0,0,0,1362,359,8855,692,9547,0.0111458,0.105317,-0.994376,0
5885,0,0,0,0,894,216,6995,558,7553,0.00218673,0.0997305,-0.995012,0
3543,0,0,0,0,703,162,4408,493,4901,-0.00088856,0.0858781,-0.996305,0
6949,0,0,0,0,1346,328,8623,1094,9717,-0.00576458,0.101081,-0.994862,0
8856,0,0,0,0,1985,429,11270,1082,12352,-0.00461718,0.122333,-0.992478,0
4087,0,0,0,0,686,162,4935,673,5608,-0.00801005,0.0926082,-0.99567,0
7252,0,0,0,0,1363,331,8946,1415,10361,0.00572204,0.093961,-0.995559,0
7508,0,0,0,0,1381,352,9241,1536,10777,0.0116682,0.0906122,-0.995818,0
7457,0,0,0,0,1368,373,9198,1183,10381,0.0172558,0.0743076,-0.997086,0
4796,0,0,0,0,891,211,5898,958,6856,0.0118826,0.0570125,-0.998303,0
7318,0,0,0,0,1366,311,8995,1492,10487,0.01502,0.100325,-0.994841,0
7222,0,0,0,0,1270,327,8819,1318,10137,0.00392675,0.100332,-0.994946,0
6327,0,0,0,0,1112,275,7714,1037,8751,0.00841495,0.0980479,-0.995146,0
7076,0,0,0,0,1299,345,8720,1091,9811,0.00987355,0.116305,-0.993164,0
6924,0,0,0,0,1164,227,8315,698,9013,-0.00124653,0.126733,-0.991936,0
4643,0,0,0,0,832,203,5678,674,6352,-0.0116542,0.11452,-0.993353,0
7053,0,0,0,0,1304,306,8663,952,9615,-0.0116151,0.131533,-0.991244,0
7014,0,0,0,0,1251,306,8571,938,9509,-0.0135497,0.132757,-0.991056,0
6131,0,0,0,0,817,206,7154,625,7779,-0.0207541,0.12325,-0.992159,0
5479,0,0,0,0,970,242,6691,646,7337,-0.0222023,0.133431,-0.990809,0
6857,0,0,0,0,1250,313,8420,827,9247,-0.0169303,0.148522,-0.988764,0
7981,0,0,0,0,1449,371,9801,850,10651,-0.0138559,0.168642,-0.98558,0
6992,0,0,0,0,1329,320,8641,758,9399,-0.00214211,0.158031,-0.987432,0
6969,0,0,0,0,1384,344,8697,795,9492,0.00941286,0.171097,-0.985209,0
6767,0,0,0,0,1416,351,8534,834,9368,0.0160172,0.178219,-0.98386,0
6840,0,0,0,0,1471,357,8668,673,9341,0.0295742,0.219439,-0.975178,0
