Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6697,4189,83,519,4020,55,270,15833,1473,17306,0.0165559,0.0394485,-0.999084,0
3269,2142,18,250,2108,24,142,7953,1010,8963,0.00194131,0.0484882,-0.998822,0
3543,2026,16,239,2091,26,142,8083,1051,9134,-0.0148905,0.0446157,-0.998893,0
6059,4580,31,489,4031,44,292,15526,1520,17046,0.0132118,0.0347038,-0.99931,0
3133,2259,16,251,2101,21,140,7921,1073,8994,-0.0087012,0.035609,-0.999328,0
3814,2850,22,339,2701,29,193,9948,1286,11234,-0.00560041,0.0281365,-0.999588,0
5962,4016,32,474,4321,40,190,15035,1465,16500,0.00401599,0.0319814,-0.99948,0
3278,2144,17,250,2123,29,143,7984,1103,9087,0.0186163,0.0286858,-0.999415,0
3777,2629,19,298,2539,30,167,9459,1442,10901,-0.00494238,0.0490068,-0.998786,0
6189,4096,31,474,4078,42,188,15098,1457,16555,0.0315539,0.0295409,-0.999065,0
3096,2124,18,248,2391,37,144,8058,1118,9176,0.00933735,0.0252258,-0.999638,0
5838,3987,32,471,4264,122,319,15033,1660,16693,-0.011423,0.0219574,-0.999694,0
4725,2824,23,336,2774,42,205,10929,1096,12025,-0.00154434,0.0394822,-0.999219,0
3179,2099,17,271,2080,42,141,7829,1198,9027,-0.00217832,0.0585925,-0.99828,0
5264,3354,25,416,3253,50,219,12581,1753,14334,0.00712525,0.0455567,-0.998936,0
3582,2845,20,287,2397,39,160,9330,1276,10606,-0.00718915,0.0522213,-0.99861,0
4482,3067,25,359,3001,50,204,11188,1590,12778,0.0026024,0.0386246,-0.99925,0
4696,2843,44,346,2777,41,189,10936,1392,12328,-0.0030197,0.0566337,-0.99839,0
4236,2838,22,350,2807,42,193,10488,1603,12091,0.00818412,0.0869154,-0.996182,0
4428,3390,23,346,2833,36,203,11259,1582,12841,0.0061368,0.0595989,-0.998204,0
6425,3868,29,447,3777,56,250,14852,1527,16379,0.0091558,0.0754228,-0.99711,0
3854,2662,20,303,2578,34,172,9623,1496,11119,0.00919597,0.0496372,-0.998725,0
5307,3225,37,443,3226,70,218,12526,1894,14420,-0.0185815,0.0621835,-0.997892,0
3577,2349,19,300,2376,35,157,8813,1344,10157,0.000397769,0.0529281,-0.998598,0
5926,3940,32,486,3750,46,184,14364,1655,16019,0.0162087,0.056013,-0.998298,0
3207,2068,17,242,2108,27,140,7809,1125,8934,-0.000117793,0.0767514,-0.99705,0
6109,4073,35,473,4044,57,269,15060,1453,16513,0.0211521,0.0916586,-0.995566,0
4240,2877,22,326,2846,34,184,10529,1208,11737,0.00536796,0.0640082,-0.997935,0
3227,2234,17,248,2176,33,142,8077,1264,9341,0.017845,0.0568035,-0.998226,0
6088,4102,31,467,4045,51,269,15053,2027,17080,0.0119138,0.109873,-0.993874,0
4167,2843,22,317,2768,33,194,10344,1196,11540,0.0120804,0.109867,-0.993873,0
3156,2002,16,243,1969,38,144,7568,1133,8701,0.0353455,0.0699813,-0.996922,0
5972,3818,31,439,3822,64,250,14396,1589,15985,0.00287144,0.091734,-0.995779,0
3106,1901,17,222,1883,37,129,7295,1199,8494,0.0167951,0.107026,-0.994114,0
4672,2794,26,335,2746,48,187,10808,1966,12774,0.00537936,0.0898796,-0.995938,0
5035,2604,22,296,2464,45,170,10636,1749,12385,0.0166091,0.0802718,-0.996635,0
4268,2456,23,284,2430,45,165,9671,1700,11371,0.00223926,0.0934389,-0.995623,0
3064,1774,17,206,1685,34,115,6895,1381,8276,0.0315916,0.0714464,-0.996944,0
5384,2986,35,492,3151,62,207,12317,2385,14702,-0.00123062,0.115496,-0.993307,0
5743,2782,29,334,2045,42,131,11106,1596,12702,-0.0107163,0.110457,-0.993823,0
2265,1147,13,140,1114,25,79,4783,1356,6139,0.018756,0.0644248,-0.997746,0
6951,3772,37,501,3694,93,259,15307,1611,16918,0.0171752,0.0837058,-0.996342,0
2796,1360,15,163,1304,28,93,5759,1409,7168,0.0175175,0.0781421,-0.996788,0
5340,2509,29,312,2452,53,173,10868,2665,13533,0.0116096,0.0705772,-0.997439,0
3614,1739,19,239,1735,28,126,7500,2562,10062,-0.0175399,0.0964507,-0.995183,0
5378,2723,28,327,2660,58,184,11358,2123,13481,0.0171532,0.0894314,-0.995845,0
3662,1721,20,233,1689,41,124,7490,2162,9652,0.0190867,0.0891601,-0.995834,0
5508,2444,27,313,2402,58,180,10932,2159,13091,0.0238769,0.0733364,-0.997021,0
3551,1665,20,215,1614,39,120,7224,1846,9070,0.016933,0.0729402,-0.997193,0
5302,2377,30,301,2248,50,169,10477,2885,13362,0.0225323,0.0658809,-0.997573,0
3610,1512,30,198,1504,43,112,7009,2916,9925,-0.00576277,0.082874,-0.996543,0
5282,2058,28,268,2071,49,154,9910,3428,13338,0.0177683,0.0643275,-0.997771,0
3347,1262,27,256,1122,27,88,6129,2510,8639,0.0177898,0.079371,-0.996686,0
4415,1348,21,184,1296,40,124,7428,5377,12805,-0.0134612,0.113803,-0.993412,0
3199,946,17,149,1049,25,75,5460,4283,9743,0.0234339,0.0684295,-0.997381,0
5315,1539,27,207,1438,34,113,8673,6873,15546,0.0213871,0.126612,-0.991722,0
2756,773,15,106,742,18,60,4470,3522,7992,0.0300038,0.117345,-0.992638,0
4311,1331,22,173,1194,28,93,7152,3884,11036,0.0216038,0.119676,-0.992578,0
5806,1777,48,184,1201,24,93,9133,7090,16223,0.0174028,0.136388,-0.990503,0
1967,732,10,91,710,14,52,3576,1137,4713,0.00479398,0.115609,-0.993283,0
3286,1316,15,168,1236,23,93,6137,3958,10095,0.0196077,0.0830218,-0.996355,0
5015,2251,26,289,2157,42,204,9984,11421,21405,0.00102825,0.15266,-0.988278,0
2758,1131,12,143,1105,16,78,5243,-1000,-1000,-1,-1,-1,0
1854,981,9,123,972,14,69,4022,1912,5934,0.0260292,0.100035,-0.994643,0
5572,2840,26,355,2751,35,195,11774,4096,15870,0.0406107,0.0817321,-0.995827,0
5221,2909,26,354,2958,37,204,11709,2457,14166,0.0186325,0.0741189,-0.997075,0
3812,2102,18,297,2029,21,145,8424,2009,10433,0.0205455,0.071498,-0.997229,0
3807,2138,20,260,2150,28,166,8569,2126,10695,0.0263851,0.0428935,-0.998731,0
3155,1649,15,203,1653,17,117,6809,1579,8388,0.00346495,0.0452892,-0.998968,0
5580,3222,27,378,3033,35,216,12491,2707,15198,0.0169692,0.051794,-0.998514,0
3144,1804,15,217,1806,18,137,7141,2120,9261,0.0435266,0.0508126,-0.997759,0
6202,3808,30,505,3914,36,237,14732,3772,18504,0.0446796,0.171576,-0.984157,0
2634,1830,19,246,1507,12,97,6345,1230,7575,0.0521218,0.104499,-0.993158,0
1664,1166,8,145,1144,10,85,4222,823,5045,0.0109839,0.0908546,-0.995804,0
2203,1548,11,179,1612,14,113,5680,1074,6754,0.0752343,0.0981204,-0.992327,0
6230,4204,27,476,3929,46,291,15203,3234,18437,0.100337,0.0526691,-0.993559,0
6291,4713,32,532,4719,67,308,16662,3282,19944,0.010612,0.18392,-0.982884,0
2808,2006,12,236,1708,27,106,6903,2092,8995,-0.00221476,0.11301,-0.993591,0
1697,1213,9,125,1066,17,71,4198,1483,5681,0.0340077,0.119244,-0.992282,0
1805,1263,8,143,1233,13,81,4546,1269,5815,0.0384317,0.101727,-0.99407,0
4246,3017,23,389,2946,28,195,10844,3896,14740,0.0266593,0.149642,-0.988381,0
5630,4185,32,638,5089,39,262,15875,2359,18234,-0.00842179,0.0911644,-0.9958,0
2604,1691,12,203,1798,30,119,6457,1505,7962,0.00114096,0.0755045,-0.997145,0
5732,3907,24,453,3679,73,281,14149,2499,16648,0.00156271,0.125778,-0.992057,0
4003,2689,17,309,2608,49,178,9853,1988,11841,-0.00877489,0.100094,-0.994939,0
6382,4260,26,500,3946,52,259,15425,2064,17489,0.00188667,0.142723,-0.989761,0
3155,2120,14,243,2075,24,139,7770,1521,9291,-0.00818152,0.0736366,-0.997252,0
6098,4168,25,501,3840,56,254,14942,3485,18427,0.0495386,0.0235893,-0.998494,0
3214,2021,15,237,2072,41,172,7772,2999,10771,0.0504581,-0.0171721,-0.998579,0
3560,2249,17,263,2257,29,147,8522,1743,10265,0.0365562,0.0124011,-0.999255,0
6670,4579,31,458,4084,63,269,16154,3592,19746,0.0255553,0.0415911,-0.998808,0
3078,2064,16,241,1965,44,130,7538,3488,11026,0.0169235,0.0201929,-0.999653,0
2616,1648,14,190,1585,27,106,6186,2356,8542,0.0128878,0.0680934,-0.997596,0
4212,2927,22,340,2734,44,185,10464,4048,14512,0.00427387,0.118726,-0.992918,0
5511,3420,27,428,3445,70,252,13153,4557,17710,0.00370819,0.0480502,-0.998838,0
2526,1555,13,194,1498,26,107,5919,4605,10524,-0.0157695,0.117735,-0.99292,0
3421,2116,15,258,2063,34,148,8055,4990,13045,-0.00938196,0.0764105,-0.997032,0
5451,3333,24,407,3382,54,244,12895,5358,18253,-0.0285723,0.0758748,-0.996708,0
2949,1914,14,229,1854,28,131,7119,2683,9802,-0.0128571,0.069431,-0.997504,0
5396,3463,27,419,3425,50,243,13023,4324,17347,-0.0125201,0.169945,-0.985374,0
3017,2053,16,265,1968,30,137,7486,1471,8957,-0.0201818,0.14167,-0.989708,0
6040,4063,21,450,3784,33,258,14649,2164,16813,0.00170057,0.171966,-0.985101,0
4016,2922,17,345,2837,34,195,10366,1474,11840,-0.00754017,0.184765,-0.982754,0
2966,2259,14,270,2308,33,153,8003,1130,9133,0.0151881,0.182848,-0.983024,0
5940,4404,23,510,4181,65,299,15422,1606,17028,0.0281488,0.207358,-0.97786,0
4355,3057,16,358,3013,42,202,11043,1414,12457,0.016564,0.20056,-0.979541,0
5855,4839,24,569,4734,97,478,16596,1439,18035,0.0173502,0.248569,-0.968459,0
3113,3031,14,310,2651,35,174,9328,1160,10488,0.00754006,0.260268,-0.965507,0
4815,4195,24,479,4078,54,273,13918,1736,15654,0.0169799,0.26825,-0.9632,0
5803,4830,24,567,4846,68,323,16461,1463,17924,-0.0223056,0.286728,-0.957752,0
3103,2449,18,296,2487,29,164,8546,1131,9677,-0.0127963,0.227296,-0.973742,0
4919,3876,25,435,3779,48,261,13343,1552,14895,-0.0156987,0.228468,-0.973425,0
3725,2735,18,301,2703,59,174,9715,1230,10945,-0.0199129,0.246747,-0.968875,0
6198,4371,32,520,3796,56,193,15166,1427,16593,-0.00628385,0.287727,-0.957692,0
3298,2317,17,263,2292,29,150,8366,1115,9481,0.0101872,0.218392,-0.975808,0
6254,4552,31,516,4449,74,289,16165,1536,17701,-0.00273901,0.208288,-0.978064,0
3356,2468,17,304,2295,25,131,8596,991,9587,0.00309863,0.193175,-0.981159,0
3819,2745,17,377,2664,36,181,9839,1326,11165,-0.00624476,0.201685,-0.97943,0
6351,4657,30,549,4662,63,307,16619,1551,18170,0.00290349,0.178346,-0.983964,0
3177,2680,17,316,2648,34,171,9043,1172,10215,0.0110655,0.148726,-0.988817,0
4332,3504,22,411,3439,36,232,11976,1681,13657,0.00848413,0.137292,-0.990494,0
5423,4720,34,581,4394,52,337,15541,1669,17210,-0.00284525,0.139383,-0.990235,0
3400,2391,15,285,2376,26,161,8654,1228,9882,0.00914248,0.102014,-0.994741,0
6579,4988,29,650,4929,102,326,17603,1922,19525,-0.0050665,0.101503,-0.994822,0
3343,2571,15,299,2633,27,170,9058,979,10037,0.00144731,0.0804287,-0.996759,0
6199,5012,29,578,3451,42,224,15535,1134,16669,0.00887708,0.0563484,-0.998372,0
2594,2205,14,255,2012,29,135,7244,856,8100,-0.0219062,0.0413191,-0.998906,0
5169,3578,22,435,3525,57,240,13026,1663,14689,0.00251874,0.0400613,-0.999194,0
4487,4029,23,425,3507,54,237,12762,1468,14230,0.0153629,0.0661806,-0.997689,0
5400,4309,25,506,4284,85,375,14984,2023,17007,0.00826592,0.094381,-0.995502,0
5457,4271,26,481,3044,46,202,13527,998,14525,0.00585132,0.132182,-0.991208,0
2977,2340,15,275,2347,27,158,8139,1047,9186,0.00499773,0.149486,-0.988751,0
4581,3569,43,409,3446,46,233,12327,1830,14157,0.026217,0.160004,-0.986768,0
3293,2953,42,308,2557,28,173,9354,1516,10870,0.00597709,0.163184,-0.986577,0
5149,3881,25,474,4151,57,275,14012,1500,15512,0.0173799,0.168667,-0.98552,0
4238,2791,18,340,2725,38,192,10342,1745,12087,0.000174367,0.155602,-0.98782,0
3656,2795,18,328,2826,36,191,9850,1821,11671,-0.0263029,0.144109,-0.989212,0
3946,2730,17,317,2688,35,183,9916,1926,11842,-0.018082,0.129503,-0.991414,0
5295,3299,35,417,3304,44,231,12625,2111,14736,-0.00769222,0.142079,-0.989825,0
5768,4124,28,472,3936,52,270,14650,3993,18643,-0.0123429,0.181258,-0.983358,0
3007,1550,12,195,1534,21,106,6425,2200,8625,0.00393366,0.179508,-0.983749,0
1741,976,7,108,886,14,62,3794,1375,5169,0.00981338,0.126989,-0.991856,0
1698,894,9,109,855,19,61,3645,2223,5868,0.00583393,0.158472,-0.987346,0
5677,2540,29,326,2472,52,188,11284,6724,18008,-0.0014284,0.16548,-0.986212,0
3851,1511,24,209,1564,33,114,7306,3282,10588,0.0011621,0.143921,-0.989588,0
2794,976,13,132,967,30,76,4988,3463,8451,-0.0183731,0.142179,-0.98967,0
5651,1881,29,261,1834,73,145,9874,5858,15732,0.000804204,0.135623,-0.99076,0
3002,911,15,144,882,29,70,5053,3650,8703,0.00546467,0.170883,-0.985276,0
5658,1878,28,250,1809,53,141,9817,3302,13119,-0.0299521,0.156584,-0.98721,0
3774,1440,19,192,1414,53,107,6999,4731,11730,-0.00610604,0.167692,-0.98582,0
3593,1521,17,196,1511,32,112,6982,5754,12736,-0.00333831,0.145694,-0.989324,0
5735,2528,27,333,2814,59,237,11733,7547,19280,0.017999,0.165738,-0.986006,0
2662,1336,13,150,1122,16,84,5383,2145,7528,0.0385524,0.051025,-0.997953,0
6002,2938,31,371,2798,41,208,12389,4359,16748,0.0463735,0.127971,-0.990693,0
4017,2074,21,263,2040,24,149,8588,2073,10661,0.0215217,0.0964068,-0.995109,0
5924,3328,31,404,3184,35,227,13133,2445,15578,0.0118628,0.118308,-0.992906,0
5962,3293,29,410,3246,40,230,13210,3615,16825,0.026539,0.13866,-0.989984,0
3018,1485,12,194,1451,18,100,6278,2911,9189,-0.013647,0.205498,-0.978562,0
1576,952,9,116,894,12,58,3617,671,4288,0.040321,0.102113,-0.993955,0
2889,1770,14,227,1745,19,124,6788,1237,8025,0.0547553,0.0902628,-0.994412,0
2946,1780,15,241,1720,20,123,6845,1450,8295,0.0382862,0.0875714,-0.995422,0
5904,3600,42,427,3615,50,276,13914,2801,16715,0.0273957,0.126243,-0.991621,0
3049,1517,13,178,1524,22,103,6406,1032,7438,0.0237361,0.041999,-0.998836,0
2060,1399,11,143,1174,20,82,4889,1653,6542,0.0447343,0.0443865,-0.998012,0
5963,3489,30,406,3461,53,235,13637,3927,17564,0.0552582,0.115429,-0.991778,0
3187,1775,15,211,1808,27,119,7142,3639,10781,0.0167679,0.0564515,-0.998265,0
6774,3801,31,404,3368,55,230,14663,3026,17689,-0.0549106,0.00690506,-0.998467,0
3276,1838,18,221,1854,43,123,7373,3494,10867,-0.020435,0.0354368,-0.999163,0
3051,2037,15,201,1692,30,115,7141,4158,11299,0.0159983,0.10471,-0.994374,0
4689,2634,21,304,2632,53,175,10508,5056,15564,0.0325933,0.047466,-0.998341,0
3555,2059,15,240,2139,62,140,8210,3212,11422,0.0535411,0.0535644,-0.997128,0
4397,2762,18,315,3003,65,214,10774,2501,13275,0.0130964,0.0681002,-0.997593,0
6383,4248,30,475,3987,97,278,15498,3392,18890,0.0562389,0.182115,-0.981668,0
3526,1779,11,209,1693,26,98,7342,1852,9194,-0.0260187,0.0723168,-0.997042,0
1701,1079,7,118,984,19,67,3975,1371,5346,0.0136763,-0.0681742,-0.99758,0
1688,1033,8,136,1231,24,74,4194,3078,7272,0.042905,-0.0439441,-0.998112,0
3520,2148,15,262,2118,25,149,8237,4961,13198,0.00628456,-0.0501227,-0.998723,0
6278,3589,28,436,3527,45,249,14152,6105,20257,-0.0115613,0.00780565,-0.999903,0
2630,1512,14,182,1459,19,102,5918,2939,8857,-0.0220978,0.0169435,-0.999612,0
3409,1898,16,234,1894,28,131,7610,2683,10293,-0.0314112,0.0291366,-0.999082,0
6177,3507,31,410,3418,60,280,13883,6548,20431,-0.0558187,0.190965,-0.980008,0
2607,1450,14,176,1434,21,100,5802,4064,9866,-0.0489212,0.115225,-0.992134,0
3028,1658,14,197,1619,21,113,6650,8304,14954,-0.052452,0.0429985,-0.997697,0
4282,2323,21,308,2304,49,163,9450,9733,19183,-0.0289735,0.0561938,-0.997999,0
2526,1411,15,172,1393,28,97,5642,11532,17174,-0.0747588,0.0222876,-0.996953,0
1813,1081,9,138,986,20,70,4117,5710,9827,-0.0332152,0.178637,-0.983354,0
3055,1668,27,208,1636,25,147,6766,-1000,-1000,-1,-1,-1,0
1813,1069,9,125,998,20,71,4105,9091,13196,-0.0435945,0.0674904,-0.996767,0
1705,1021,8,114,927,16,66,3857,4414,8271,-0.00321633,0.164441,-0.986382,0
6952,3900,26,463,3816,56,265,15478,5854,21332,0.0124813,0.288609,-0.957366,0
2547,1788,13,211,1623,21,102,6305,1194,7499,0.0117616,0.195038,-0.980725,0
2277,1739,10,203,1826,37,136,6228,1043,7271,7.9288e-06,0.194167,-0.980969,0
6071,4628,25,584,4888,85,376,16657,1815,18472,-0.00492098,0.249566,-0.968345,0
4131,3167,19,369,3063,42,231,11022,1196,12218,-0.0217472,0.203101,-0.978916,0
5894,4930,36,611,3638,46,227,15382,1244,16626,-0.0151851,0.194135,-0.980857,0
2451,1869,12,219,1814,26,125,6516,953,7469,-0.00356892,0.155087,-0.987894,0
5706,4311,28,514,4200,66,291,15116,1809,16925,-0.00637062,0.176906,-0.984207,0
3960,2952,30,349,2874,46,198,10409,1478,11887,-0.000268936,0.108498,-0.994097,0
3932,2933,19,338,2830,47,190,10289,1552,11841,-0.00530064,0.152805,-0.988242,0
5805,4154,28,552,4046,74,282,14941,2082,17023,-0.00932981,0.151743,-0.988376,0
4028,2786,19,335,2762,48,192,10170,1435,11605,-0.00528379,0.131014,-0.991366,0
3736,2538,19,298,2483,41,171,9286,1447,10733,0.00637587,0.124049,-0.992256,0
4789,3260,23,387,3147,54,220,11880,1904,13784,-0.000624298,0.12283,-0.992428,0
3402,2346,17,280,2231,41,154,8471,1272,9743,-0.000953109,0.127555,-0.991831,0
4171,2810,19,333,2772,51,190,10346,1696,12042,-0.00354828,0.136105,-0.990688,0
5865,3740,28,443,3611,70,252,14009,1566,15575,0.000973092,0.068159,-0.997674,0
5738,3163,20,304,2450,66,174,11915,1211,13126,-0.0146989,0.122128,-0.992406,0
2500,1535,12,184,1500,28,105,5864,1137,7001,-0.0119641,0.0910542,-0.995774,0
5921,3620,28,484,3544,69,250,13916,1630,15546,0.00117089,0.10626,-0.994338,0
3877,2560,30,302,2457,45,184,9455,1647,11102,-0.000428091,0.0898914,-0.995951,0
2957,1920,14,232,1890,37,142,7192,1209,8401,0.000647168,0.115104,-0.993353,0
5711,3745,29,478,3684,68,284,13999,1448,15447,-0.012558,0.104143,-0.994483,0
3912,2558,19,308,2497,47,174,9515,1556,11071,-0.00779734,0.0973123,-0.995223,0
5939,3716,29,451,3601,65,257,14058,1930,15988,-0.011792,0.104,-0.994507,0
3910,2522,19,306,2487,45,176,9465,1275,10740,-0.00397961,0.112648,-0.993627,0
3535,2174,16,260,2158,39,150,8332,1357,9689,0.0163639,0.0961344,-0.995234,0
5619,3780,28,448,3594,67,253,13789,1894,15683,0.0107014,0.125348,-0.992055,0
3184,1645,13,192,1512,26,106,6678,807,7485,-0.00701223,0.122406,-0.992455,0
1758,1136,9,135,1247,28,99,4412,701,5113,-0.00504587,0.0317844,-0.999482,0
4668,2940,42,356,2875,65,247,11193,1919,13112,-0.00164413,0.107282,-0.994227,0
5816,3601,27,530,3586,76,255,13891,1644,15535,-0.00981521,0.101181,-0.99482,0
2985,1924,15,229,1854,33,131,7171,1211,8382,-0.0136109,0.112688,-0.993537,0
4696,2919,22,355,2889,53,203,11137,2029,13166,-0.00577673,0.109237,-0.993999,0
5921,3645,28,437,3501,64,248,13844,1703,15547,-0.00500789,0.0966962,-0.995301,0
2987,1902,14,229,1869,33,132,7166,1258,8424,-0.00198118,0.0699529,-0.997548,0
5647,3589,28,468,3584,75,258,13649,1627,15276,-0.0185817,0.000704256,-0.999827,0
3955,2439,19,299,2640,45,174,9571,1268,10839,0.00539535,0.0925618,-0.995692,0
2963,1882,15,225,1873,34,130,7122,1186,8308,-0.00526963,0.0996891,-0.995005,0
4756,2962,23,354,2915,62,223,11295,1781,13076,-0.00643696,0.117819,-0.993014,0
3428,2101,19,259,2120,51,151,8129,1454,9583,-0.00713045,0.106169,-0.994323,0
4322,2630,20,337,2547,48,181,10085,1744,11829,-0.00664607,0.143412,-0.989641,0
3199,1988,15,240,1926,37,135,7540,1251,8791,-0.0139207,0.106174,-0.99425,0
5697,3464,27,475,3395,67,244,13369,1994,15363,-0.0182606,0.133389,-0.990896,0
3951,2372,19,295,2338,45,165,9185,1528,10713,0.014172,0.0629518,-0.997916,0
5641,3418,30,414,3353,67,237,13160,2107,15267,-0.00248858,0.0863042,-0.996266,0
3886,2317,19,286,2305,47,161,9021,1940,10961,-0.0205757,0.151475,-0.988247,0
5171,3116,25,376,3102,66,223,12079,2091,14170,-0.0238634,0.127186,-0.991592,0
3654,2213,18,260,2161,44,150,8500,1537,10037,-0.0100801,0.0704236,-0.997466,0
5737,3387,27,411,3339,68,237,13206,1684,14890,-0.00449237,0.122167,-0.992499,0
3962,2332,19,295,2319,51,163,9141,1458,10599,-0.00584614,0.108557,-0.994073,0
3090,1775,15,217,1773,37,125,7032,1140,8172,-0.0085939,0.0982589,-0.995124,0
5734,3404,27,409,3463,72,239,13348,2048,15396,0.0113198,0.0862577,-0.996209,0
3981,2282,20,282,2329,49,161,9104,1612,10716,-0.0189858,0.148768,-0.98869,0
4036,2375,21,312,2295,46,169,9254,1479,10733,-0.0192036,0.0932286,-0.99546,0
5706,3473,51,413,3313,68,237,13261,1663,14924,-0.0102181,0.0318943,-0.999439,0
2980,1804,15,218,1772,36,168,6993,1293,8286,-0.00375233,0.0617414,-0.998085,0
5627,3433,29,421,3399,66,237,13212,1822,15034,0.00182983,0.0898874,-0.99595,0
3920,2380,20,288,2119,45,126,8898,1188,10086,-0.0117522,0.0620163,-0.998006,0
2839,1710,14,208,1688,32,119,6610,1182,7792,0.00668588,0.0599543,-0.998179,0
5731,3450,29,417,3421,66,244,13358,1790,15148,-0.0131516,0.0635132,-0.997894,0
3003,1810,14,221,1824,35,127,7034,1365,8399,-0.0170497,0.0674261,-0.997579,0
5862,3507,28,462,3384,66,243,13552,2353,15905,-0.000189561,0.124254,-0.99225,0
3911,2364,18,299,2359,45,186,9182,1542,10724,-0.00600024,0.110567,-0.993851,0
4623,2810,23,344,2764,59,197,10820,2254,13074,0.00123135,0.158924,-0.98729,0
5742,3436,28,465,3448,67,242,13428,1835,15263,-0.00573502,0.0468094,-0.998887,0
3006,1828,14,225,1826,36,129,7064,1328,8392,0.00093248,0.0445044,-0.999009,0
5699,3415,42,436,3362,68,264,13286,1648,14934,-0.00894991,0.121434,-0.992559,0
3925,2406,19,292,2329,47,167,9185,1791,10976,-0.0135694,0.099636,-0.994931,0
5783,3544,27,429,3427,68,240,13518,2075,15593,-0.00263003,0.12962,-0.99156,0
